0,y,prev_y
095570,"1,481,445,371,745","1,355,044,449,955"
006840,"5,004,334,961,394","4,548,736,656,905"
027410,"1,938,013,970,903","1,981,622,039,251"
282330,"2,946,235,271,626","2,596,378,756,682"
138930,0,0
801190,0,0
001460,"668,872,026,401","684,434,512,150"
001040,"48,240,408,307,000","41,955,995,804,000"
079160,"3,601,468,386,488","3,785,492,375,609"
035760,"10,332,246,645,583","7,940,624,818,521"
311690,"91,389,158,885","116,355,243,838"
000120,"9,693,299,818,264","8,993,928,516,384"
011150,"143,409,086,635","133,389,814,204"
097950,"30,013,241,845,000","26,855,804,277,000"
051500,"1,484,726,893,096","1,216,483,927,069"
000590,"364,121,570,785","353,716,995,747"
012030,"414,317,384,772","601,998,919,354"
016610,0,0
818158,0,0
005830,0,0
000990,"2,122,700,474,808","1,549,937,895,854"
139130,0,0
813363,0,0
000210,"12,018,993,889,708","8,180,715,293,855"
001880,"1,746,816,807,975","1,669,601,207,042"
375500,"8,974,717,444,285","8,701,690,202,744"
007340,"4,591,590,751,746","1,484,962,432,663"
004840,"945,238,494,728","831,956,562,409"
155660,"364,710,386,862","302,598,631,429"
069730,"259,398,156,922","241,710,739,393"
017940,"4,339,655,185,507","3,999,326,311,289"
383220,"1,570,179,025,400","1,140,330,107,743"
007700,"3,595,118,444,613","3,171,939,343,121"
114090,"609,513,166,650","531,306,108,295"
078930,"33,922,242,000,000","31,191,287,000,000"
006360,"16,946,616,696,898","15,183,727,264,768"
001250,"1,419,412,958,453","1,442,681,820,909"
007070,"9,832,423,124,845","9,455,972,982,478"
012630,"11,592,341,237,983","10,651,491,647,775"
039570,"382,579,391,863","411,391,673,094"
089470,"603,330,216,887","582,888,461,623"
294870,"7,336,326,609,377","6,566,377,904,144"
009540,"29,883,476,300,000","27,293,093,978,000"
267250,"65,570,861,076,000","35,778,647,923,000"
267270,"3,448,586,770,000","3,559,565,864,000"
322000,"652,825,960,031","605,558,888,690"
042670,"4,736,667,586,250","4,782,289,797,735"
267260,"2,435,030,170,738","2,214,970,249,748"
329180,"16,289,398,053,000","15,078,671,491,000"
097230,"2,567,697,000,000","2,385,236,000,000"
195940,"1,803,108,141,488","1,837,502,905,269"
014790,"1,667,421,795,499","1,521,351,990,525"
028300,"967,265,434,792","743,692,264,095"
003580,"120,246,185,135","163,865,354,144"
067630,"411,790,371,465","270,799,569,269"
204320,"5,845,841,407,280","5,704,365,860,108"
060980,"2,279,864,889,843","2,294,958,466,711"
011200,"25,973,455,000,000","17,876,100,000,000"
082740,"956,230,294,638","795,624,726,289"
095340,"358,432,438,082","261,724,660,673"
175330,0,0
234080,"252,942,118,072","219,466,609,317"
001060,"627,972,755,001","633,053,136,402"
096760,"1,157,579,707,497","1,065,779,475,044"
035900,"411,122,310,132","317,418,306,083"
105560,0,0
002550,0,0
021320,"1,198,128,493,039","1,089,774,227,600"
036670,"123,130,036,367","97,368,839,500"
009440,"792,860,678,470","906,605,618,427"
119650,"323,473,720,683","385,076,959,540"
092220,"401,136,512,524","400,589,167,116"
151860,"5,091,878,937,151","3,067,463,381,624"
046440,"474,188,848,712","491,220,860,107"
003620,"1,978,718,199,605","1,849,724,077,174"
016380,"3,051,507,326,663","2,771,098,268,254"
035600,"1,452,980,135,073","1,430,089,154,289"
001390,"6,981,908,974,784","4,884,892,280,208"
033180,"1,246,019,564,242","539,371,447,061"
060720,"344,760,762,321","381,851,259,789"
001940,"1,735,936,557,627","1,688,093,089,026"
025000,"776,778,116,811","777,143,203,509"
092230,"1,819,893,802,654","1,814,858,039,334"
000040,"149,185,245,583","168,436,811,482"
044450,"1,659,172,643,001","1,446,228,922,766"
058850,"416,146,080,400","416,750,372,360"
058860,"396,208,069,290","369,360,805,550"
060370,"120,254,641,716","110,389,639,619"
061970,"767,094,160,190","700,319,378,510"
093050,"2,584,040,376,470","2,541,137,894,593"
003550,"29,633,677,000,000","25,669,796,000,000"
034220,"35,686,019,000,000","38,154,515,000,000"
051900,"7,302,929,652,203","7,555,239,417,717"
032640,"19,774,800,000,000","19,370,515,000,000"
011070,"9,793,617,826,430","7,741,352,841,297"
066570,"55,156,141,000,000","53,481,478,000,000"
037560,"1,428,013,437,283","1,488,116,032,317"
051910,"67,973,823,000,000","51,135,302,000,000"
079550,"3,012,727,223,129","2,576,847,035,470"
006260,"16,813,978,000,000","12,625,931,000,000"
000680,"1,300,442,455,061","1,309,373,198,056"
229640,"506,732,778,044","495,255,400,435"
108320,"1,289,618,542,133","1,172,530,981,920"
001120,"7,719,007,333,629","6,746,889,021,744"
108670,"2,483,729,000,000","2,547,391,000,000"
383800,"1,635,041,000,000","1,442,547,000,000"
023150,"447,440,404,391","451,460,751,811"
035420,"33,899,042,889,136","33,691,006,757,040"
060250,"468,184,454,014","410,847,594,667"
839719,0,0
005940,0,0
034310,"3,378,563,521,222","3,083,783,180,088"
030190,"481,091,462,120","434,270,029,814"
008260,"397,444,642,902","341,056,807,158"
010060,"6,745,534,254,000","5,704,061,113,000"
178920,"498,996,615,717","472,959,621,758"
005490,"98,406,780,635,254","91,471,614,111,915"
218410,"473,338,210,545","446,949,568,964"
010950,"19,613,135,000,000","18,693,235,000,000"
034120,"1,407,888,696,660","1,462,149,708,150"
046140,"248,375,921,541","219,553,306,990"
151910,"97,688,563,023","108,386,857,908"
036540,"674,874,341,737","649,395,336,516"
005090,"3,054,362,176,494","2,591,549,830,557"
016250,"973,525,647,536","591,722,026,513"
001380,"185,935,448,420","187,021,454,393"
004060,"303,815,670,161","308,412,903,410"
001770,"88,291,972,478","71,036,421,199"
002360,"124,160,292,131","119,629,057,587"
009160,"965,098,438,859","903,229,593,071"
034730,"194,505,860,000,000","165,368,363,000,000"
