,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20210317001135,Y,00132637,동원시스템즈,남,본사,-,-,-,51,0,1,0,52,         6.9 ,"3,161,481,000","60,798,000",-
1,20210317001135,Y,00132637,동원시스템즈,여,인쇄,-,-,-,7,0,0,0,7,         4.7 ,"324,091,000","46,299,000",-
2,20210317001135,Y,00132637,동원시스템즈,남,수지,-,-,-,125,0,0,0,125,         9.0 ,"6,951,383,000","55,611,000",-
3,20210317001135,Y,00132637,동원시스템즈,여,수지,-,-,-,6,0,0,0,6,         7.5 ,"270,631,000","45,105,000",-
4,20210317001135,Y,00132637,동원시스템즈,남,아셉틱,-,-,-,74,0,0,0,74,         1.4 ,"2,995,662,000","40,482,000",-
5,20210317001135,Y,00132637,동원시스템즈,여,아셉틱,-,-,-,4,0,1,0,5,         0.6 ,"170,462,000","34,092,000",-
6,20210317001135,Y,00132637,동원시스템즈,여,본사,-,-,-,19,0,0,0,19,         3.9 ,"699,949,000","36,839,000",-
7,20210317001135,Y,00132637,동원시스템즈,남,포장,-,-,-,157,0,5,0,162,         6.5 ,"9,594,342,000","59,224,000",-
8,20210317001135,Y,00132637,동원시스템즈,여,포장,-,-,-,15,0,2,0,17,         6.7 ,"773,770,000","45,516,000",-
9,20210317001135,Y,00132637,동원시스템즈,남,제관,-,-,-,83,0,1,0,84,         9.1 ,"4,982,519,000","59,316,000",-
10,20210317001135,Y,00132637,동원시스템즈,여,제관,-,-,-,7,0,1,0,8,       15.8 ,"315,327,000","39,416,000",-
11,20210317001135,Y,00132637,동원시스템즈,남,알루미늄,-,-,-,208,0,9,0,217,       17.1 ,"14,708,675,000","67,782,000",-
12,20210317001135,Y,00132637,동원시스템즈,여,알루미늄,-,-,-,6,0,0,0,6,         2.5 ,"218,188,000","36,365,000",-
13,20210317001135,Y,00132637,동원시스템즈,남,인쇄,-,-,-,63,0,2,0,65,         9.2 ,"3,681,819,000","56,643,000",-
