,tag,제 54 기
0,자산,
1,유동자산,780569046384
2,현금및현금성자산,174682440219
5,당기손익공정가치측정금융자산,1693615000
7,재고자산,150532956985
8,기타금융자산,29859088172
9,기타유동자산,28491436108
10,비유동자산,1885101441670
13,당기손익공정가치측정금융자산,18783218586
14,이연법인세자산,4392071585
15,기타포괄손익공정가치측정금융자산,8105830337
17,유형자산,1451249243971
19,무형자산,8320561901
20,사용권자산,78960883511
21,기타비유동금융자산,15107800601
22,기타비유동자산,695590866
23,매각예정비유동자산,197744349827
24,자산총계,2665670488054
25,부채,
26,유동부채,1385618235356
30,기타금융부채,4235211914
31,파생상품부채,59494363
32,충당부채,9733397764
33,리스부채,5493712954
34,기타유동부채,98462995023
35,당기법인세부채,8010834326
36,비유동부채,611974934493
38,순확정급여부채,648746397
39,충당부채,28032071768
40,리스부채,77358693434
41,기타금융부채,1297175171
42,기타비유동부채,15151310092
43,부채총계,1997593169849
53,자본과부채총계,2665670488054
