,tag,제 2 기,제 1 기
0,자산,,
1,유동자산,450375920905,230551464903
2,현금및현금성자산,305601604636,94646278024
6,파생상품자산,58256050,451617842
7,재고자산,67603990760,43435590783
8,기타유동자산,16454651950,34383201323
9,비유동자산,390792565638,263648710535
10,유형자산,318394589428,212154531468
11,무형자산,12357145365,9683082196
14,이연법인세자산,46537186707,28949964282
15,기타비유동자산,6039562530,4719424656
16,자산총계,841168486543,494200175438
17,부채,,
18,유동부채,167427410105,184007280616
24,파생상품부채,938835581,2377756627
25,당기법인세부채,6457183750,5296223245
26,충당부채,294040769,
27,유동리스부채,1887944016,1896788512
28,기타유동부채,12933274768,387640932
29,비유동부채,183882418408,169560785857
32,퇴직급여부채,3741095450,4666299285
34,충당부채,719973120,938083408
35,이연법인세부채,5452058806,1374392552
36,비유동리스부채,4956699220,6833582202
37,기타비유동부채,,60205600000
38,부채총계,351309828513,353568066473
48,자본과부채총계,841168486543,494200175438
