,tag,제 43 기,제 42 기,제 41 기
2,매출총이익,46711669053,56855450561,56967839304
5,영업이익,"(2,884,749,740)",5594453591,11088638714
6,기타이익,12742486183,13425982013,7503690633
11,법인세비용차감전순이익(손실),311496438,"(7,876,769,013)",4756760281
13,계속영업이익(손실),"(2,665,891,114)","(7,814,201,486)",984497986
14,당기순이익,"(2,665,891,114)","(7,814,201,486)",984497986
15,당기순이익(손실)의 귀속,,,
25,지분법이익잉여금변동,1509689544,176991324,"(2,170,673,905)"
28,총포괄이익,"(1,004,817,654)","(8,887,552,845)","(1,089,892,335)"
29,총포괄이익의 귀속,,,
32,주당이익,,,
33,기본 및 희석주당이익 (단위 : 원),(217),(570),205
