,tag,제 25 기,제 24 기
2,매출총이익,28460276758,28094770945
6,영업이익(손실),6138629198,4526335675
9,기타이익,1559117564,1499376413
11,법인세비용차감전순이익(손실),791443271,3183587446
13,계속영업이익(손실),1556897958,2737449191
14,중단영업이익(손실),"(9,026,821,435)","(6,987,152,645)"
15,당기순이익(손실),"(7,469,923,477)","(4,249,703,454)"
23,당기순이익(손실)의 귀속,,
24,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(6,294,915,529)","(3,274,449,405)"
25,계속영업이익,"(74,539,546)",1649152482
27,비지배지분에 귀속되는 당기순이익(손실),"(1,175,007,948)","(975,254,049)"
28,계속영업이익,1631437504,1088296709
33,주당이익(손실),,
34,기본주당이익(손실) (단위 : 원),(107),(57)
35,계속영업기본주당이익(손실) (단위 : 원),(1),28
36,중단영업기본주당이익(손실) (단위 : 원),(106),(85)
