,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord,currency
0,재무상태표,유동자산,제 54 기,2020.12.31 현재,"780,569,046,384",-,-,1,KRW
1,재무상태표,비유동자산,제 54 기,2020.12.31 현재,"1,885,101,441,670",-,-,3,KRW
2,재무상태표,자산총계,제 54 기,2020.12.31 현재,"2,665,670,488,054",-,-,5,KRW
3,재무상태표,유동부채,제 54 기,2020.12.31 현재,"1,385,618,235,356",-,-,7,KRW
4,재무상태표,비유동부채,제 54 기,2020.12.31 현재,"611,974,934,493",-,-,9,KRW
5,재무상태표,부채총계,제 54 기,2020.12.31 현재,"1,997,593,169,849",-,-,11,KRW
6,재무상태표,자본금,제 54 기,2020.12.31 현재,"73,385,020,000",-,-,13,KRW
7,재무상태표,이익잉여금,제 54 기,2020.12.31 현재,"87,237,134,981",-,-,17,KRW
8,재무상태표,자본총계,제 54 기,2020.12.31 현재,"668,077,318,205",-,-,21,KRW
9,손익계산서,매출액,제 54 기,2020.11.01 ~ 2020.12.31,"106,548,366,582",-,-,23,KRW
10,손익계산서,영업이익,제 54 기,2020.11.01 ~ 2020.12.31,"7,017,229,307",-,-,25,KRW
11,손익계산서,법인세차감전 순이익,제 54 기,2020.11.01 ~ 2020.12.31,"28,044,736,786",-,-,27,KRW
12,손익계산서,당기순이익,제 54 기,2020.11.01 ~ 2020.12.31,"26,213,932,423",-,-,29,KRW
13,손익계산서,당기순이익(손실),제 54 기,2020.11.01 ~ 2020.12.31,"26,213,932,423",-,-,61,KRW
14,재무상태표,유동자산,제 54 기,2020.12.31 현재,"160,652,562,584",-,-,2,KRW
15,재무상태표,비유동자산,제 54 기,2020.12.31 현재,"1,485,569,589,428",-,-,4,KRW
16,재무상태표,자산총계,제 54 기,2020.12.31 현재,"1,646,222,152,012",-,-,6,KRW
17,재무상태표,유동부채,제 54 기,2020.12.31 현재,"700,101,268,686",-,-,8,KRW
18,재무상태표,비유동부채,제 54 기,2020.12.31 현재,"389,307,780,372",-,-,10,KRW
19,재무상태표,부채총계,제 54 기,2020.12.31 현재,"1,089,409,049,058",-,-,12,KRW
20,재무상태표,자본금,제 54 기,2020.12.31 현재,"73,385,020,000",-,-,15,KRW
21,재무상태표,이익잉여금,제 54 기,2020.12.31 현재,"65,080,255,212",-,-,19,KRW
22,재무상태표,자본총계,제 54 기,2020.12.31 현재,"556,813,102,954",-,-,22,KRW
23,손익계산서,매출액,제 54 기,2020.11.01 ~ 2020.12.31,"69,990,767,735",-,-,24,KRW
24,손익계산서,영업이익,제 54 기,2020.11.01 ~ 2020.12.31,"5,647,166,922",-,-,26,KRW
25,손익계산서,법인세차감전 순이익,제 54 기,2020.11.01 ~ 2020.12.31,"7,830,570,430",-,-,28,KRW
26,손익계산서,당기순이익,제 54 기,2020.11.01 ~ 2020.12.31,"4,787,400,153",-,-,30,KRW
27,손익계산서,당기순이익(손실),제 54 기,2020.11.01 ~ 2020.12.31,"4,787,400,153",-,-,62,KRW
