,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
0,재무상태표,유동자산,제 31 기,2020.12.31 현재,"434,904,724,065",제 30 기,2019.12.31 현재,"330,354,967,665",제 29 기,2018.12.31 현재,"274,810,955,755",1,KRW
1,재무상태표,비유동자산,제 31 기,2020.12.31 현재,"438,494,053,402",제 30 기,2019.12.31 현재,"350,096,790,214",제 29 기,2018.12.31 현재,"299,638,144,601",3,KRW
2,재무상태표,자산총계,제 31 기,2020.12.31 현재,"873,398,777,467",제 30 기,2019.12.31 현재,"680,451,757,879",제 29 기,2018.12.31 현재,"574,449,100,356",5,KRW
3,재무상태표,유동부채,제 31 기,2020.12.31 현재,"127,270,918,893",제 30 기,2019.12.31 현재,"102,705,755,574",제 29 기,2018.12.31 현재,"105,448,147,677",7,KRW
4,재무상태표,비유동부채,제 31 기,2020.12.31 현재,"87,136,578,353",제 30 기,2019.12.31 현재,"70,460,902,199",제 29 기,2018.12.31 현재,"52,622,274,953",9,KRW
5,재무상태표,부채총계,제 31 기,2020.12.31 현재,"214,407,497,246",제 30 기,2019.12.31 현재,"173,166,657,773",제 29 기,2018.12.31 현재,"158,070,422,630",11,KRW
6,재무상태표,자본금,제 31 기,2020.12.31 현재,"6,777,022,000",제 30 기,2019.12.31 현재,"6,777,022,000",제 29 기,2018.12.31 현재,"6,777,022,000",13,KRW
7,재무상태표,이익잉여금,제 31 기,2020.12.31 현재,"494,792,100,965",제 30 기,2019.12.31 현재,"427,993,344,848",제 29 기,2018.12.31 현재,"382,053,844,125",17,KRW
8,재무상태표,자본총계,제 31 기,2020.12.31 현재,"658,991,280,221",제 30 기,2019.12.31 현재,"507,285,100,106",제 29 기,2018.12.31 현재,"416,378,677,726",21,KRW
9,손익계산서,매출액,제 31 기,2020.01.01 ~ 2020.12.31,"576,365,926,703",제 30 기,2019.01.01 ~ 2019.12.31,"511,909,493,322",제 29 기,2018.01.01 ~ 2018.12.31,"526,071,012,552",23,KRW
10,손익계산서,영업이익,제 31 기,2020.01.01 ~ 2020.12.31,"76,070,896,675",제 30 기,2019.01.01 ~ 2019.12.31,"65,295,639,123",제 29 기,2018.01.01 ~ 2018.12.31,"78,470,401,819",25,KRW
11,손익계산서,법인세차감전 순이익,제 31 기,2020.01.01 ~ 2020.12.31,"83,113,797,245",제 30 기,2019.01.01 ~ 2019.12.31,"84,310,956,984",제 29 기,2018.01.01 ~ 2018.12.31,"288,319,853,623",27,KRW
12,손익계산서,당기순이익,제 31 기,2020.01.01 ~ 2020.12.31,"57,417,188,392",제 30 기,2019.01.01 ~ 2019.12.31,"57,039,234,658",제 29 기,2018.01.01 ~ 2018.12.31,"212,408,209,520",29,KRW
13,손익계산서,당기순이익(손실),제 31 기,2020.01.01 ~ 2020.12.31,"57,417,188,392",제 30 기,2019.01.01 ~ 2019.12.31,"57,039,234,658",제 29 기,2018.01.01 ~ 2018.12.31,"212,408,209,520",61,KRW
14,재무상태표,유동자산,제 31 기,2020.12.31 현재,"241,100,314,260",제 30 기,2019.12.31 현재,"157,836,629,077",제 29 기,2018.12.31 현재,"133,882,749,183",2,KRW
15,재무상태표,비유동자산,제 31 기,2020.12.31 현재,"369,807,052,058",제 30 기,2019.12.31 현재,"301,541,328,235",제 29 기,2018.12.31 현재,"249,330,352,436",4,KRW
16,재무상태표,자산총계,제 31 기,2020.12.31 현재,"610,907,366,318",제 30 기,2019.12.31 현재,"459,377,957,312",제 29 기,2018.12.31 현재,"383,213,101,619",6,KRW
17,재무상태표,유동부채,제 31 기,2020.12.31 현재,"41,079,711,624",제 30 기,2019.12.31 현재,"29,465,227,547",제 29 기,2018.12.31 현재,"47,808,818,950",8,KRW
18,재무상태표,비유동부채,제 31 기,2020.12.31 현재,"56,885,998,752",제 30 기,2019.12.31 현재,"43,061,143,356",제 29 기,2018.12.31 현재,"26,366,402,460",10,KRW
19,재무상태표,부채총계,제 31 기,2020.12.31 현재,"97,965,710,376",제 30 기,2019.12.31 현재,"72,526,370,903",제 29 기,2018.12.31 현재,"74,175,221,410",12,KRW
