,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_amount,ord,currency
0,재무상태표,유동자산,제 2 기,2020.12.31 현재,"651,986,170,736",제 1 기,2019.12.31 현재,"408,360,047,292",-,2,KRW
1,재무상태표,비유동자산,제 2 기,2020.12.31 현재,"138,201,735,246",제 1 기,2019.12.31 현재,"87,400,854,935",-,4,KRW
2,재무상태표,자산총계,제 2 기,2020.12.31 현재,"790,187,905,982",제 1 기,2019.12.31 현재,"495,760,902,227",-,6,KRW
3,재무상태표,유동부채,제 2 기,2020.12.31 현재,"264,574,651,081",제 1 기,2019.12.31 현재,"225,303,453,929",-,8,KRW
4,재무상태표,비유동부채,제 2 기,2020.12.31 현재,"13,069,089,036",제 1 기,2019.12.31 현재,"103,686,895,617",-,10,KRW
5,재무상태표,부채총계,제 2 기,2020.12.31 현재,"277,643,740,117",제 1 기,2019.12.31 현재,"328,990,349,546",-,12,KRW
6,재무상태표,자본금,제 2 기,2020.12.31 현재,"8,184,422,600",제 1 기,2019.12.31 현재,"7,184,422,600",-,15,KRW
7,재무상태표,이익잉여금,제 2 기,2020.12.31 현재,"24,493,614,532",제 1 기,2019.12.31 현재,"10,604,518,883",-,19,KRW
8,재무상태표,자본총계,제 2 기,2020.12.31 현재,"512,544,165,865",제 1 기,2019.12.31 현재,"166,770,552,681",-,22,KRW
9,손익계산서,매출액,제 2 기,2020.01.01 ~ 2020.12.31,"461,838,982,032",제 1 기,2019.10.01 ~ 2019.12.31,"221,171,085,092",-,24,KRW
10,손익계산서,법인세차감전 순이익,제 2 기,2020.01.01 ~ 2020.12.31,"18,266,607,799",제 1 기,2019.10.01 ~ 2019.12.31,"16,010,133,425",-,28,KRW
11,손익계산서,당기순이익,제 2 기,2020.01.01 ~ 2020.12.31,"14,190,288,190",제 1 기,2019.10.01 ~ 2019.12.31,"11,870,980,021",-,30,KRW
12,손익계산서,당기순이익(손실),제 2 기,2020.01.01 ~ 2020.12.31,"14,190,288,190",제 1 기,2019.10.01 ~ 2019.12.31,"11,870,980,021",-,62,KRW
