,corp_name,se,thstrm,frmtrm,lwfr
0,LS,주당액면가액(원),"5,000","5,000","5,000"
1,LS,(연결)당기순이익(백만원),"451,561","277,785","126,850"
2,LS,(별도)당기순이익(백만원),"446,789","277,525","122,509"
3,LS,(연결)주당순이익(원),"16,306","10,004","4,568"
4,LS,현금배당금총액(백만원),"42,561","40,262","40,262"
5,LS,주식배당금총액(백만원),-,-,-
6,LS,(연결)현금배당성향(%),9.46,14.49,31.74
7,LS,현금배당수익률(%),2.10,2.70,2.00
8,LS,현금배당수익률(%),-,-,-
9,LS,주식배당수익률(%),-,-,-
10,LS,주식배당수익률(%),-,-,-
11,LS,주당 현금배당금(원),"1,550","1,450","1,450"
12,LS,주당 현금배당금(원),-,-,-
13,LS,주당 주식배당(주),-,-,-
14,LS,주당 주식배당(주),-,-,-
