,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,계양전기,주당액면가액(원),500,500,500,
1,계양전기,(연결)당기순이익(백만원),"-24,539","-6,211","9,385",
2,계양전기,(별도)당기순이익(백만원),"-27,580","-7,407","9,408",
3,계양전기,(연결)주당순이익(원),-753,-191,276,
4,계양전기,현금배당금총액(백만원),857,"1,085","1,197",
5,계양전기,주식배당금총액(백만원),-,-,-,
6,계양전기,(연결)현금배당성향(%),-3.49,-17.47,12.75,
7,계양전기,현금배당수익률(%),0.80,0.90,0.80,보통주
8,계양전기,현금배당수익률(%),0.60,0.60,0.50,우선주
9,계양전기,주식배당수익률(%),-,-,-,보통주
10,계양전기,주식배당수익률(%),-,-,-,우선주
11,계양전기,주당 현금배당금(원),25,35,35,보통주
12,계양전기,주당 현금배당금(원),30,40,40,우선주
13,계양전기,주당 주식배당(주),-,-,-,보통주
14,계양전기,주당 주식배당(주),-,-,-,우선주
