,tag,제 30 기,제 29 기,제 28 기
0,자산,,,
1,유동자산,270540219474,166208050303,208325755978
2,현금및현금성자산,92497218052,105686896469,101851024829
7,재고자산,8274559901,1711234818,2013920067
9,기타유동자산,2996918636,2456982557,3529004179
10,기타금융자산,6795588899,11437194617,5123578497
11,당기법인세자산,371080885,332807624,633823219
12,매각예정자산,0,0,46402958237
13,당기손익-공정가치측정금융자산,0,0,236154014
14,비유동자산,184889220986,264387534418,494935159196
15,당기손익-공정가치측정금융자산,3012259720,2938114860,4529550000
16,기타포괄손익-공정가치측정금융자산,1189199886,1187147849,1207316725
17,공동기업 및 관계기업투자자산,702932237,946873111,3099867426
21,유형자산,10176271514,13379038746,98387080903
22,무형자산,22932159606,32852801190,41958022647
23,사용권자산,76601500708,140108104698,263965044428
24,기타금융자산,14800596423,20293002103,28196139991
25,이연법인세자산,52292868979,47721079323,42376646571
26,기타비유동자산,23837555,201011841,51949200
27,자산총계,455429440460,430595584721,703260915174
28,부채,,,
29,유동부채,232758647249,172522848891,173261821793
32,당기법인세부채,362064890,304682185,448133495
36,유동성장기부채,2086092339,4122122362,6816374921
37,리스부채,13914120140,35112339913,22784004321
38,충당부채,892687627,1023018223,2142207385
39,기타금융부채,2084105539,2217776730,2325019942
40,기타유동부채,10464510806,12719477403,13191064105
41,비유동부채,122969145273,200316608455,404685102441
45,장기충당부채,198919375,181743756,433008159
46,장기리스부채,105785175720,182746487497,299760033270
48,기타금융부채,0,0,475680000
49,기타비유동부채,4572449384,5272118831,146106193
50,부채총계,355727792522,372839457346,577946924234
59,부채및자본총계,455429440460,430595584721,703260915174
