,tag,제 16 기,제 15 기,제 15 기초
0,자산,,,
1,유동자산,439441987127,226884929755,140142543337
2,현금및현금성자산,64765775263,35333546419,13473031708
3,단기금융자산,201197833297,26415311796,49411635314
6,재고자산,86132333132,62115959340,35936733002
7,기타유동자산,26591151159,43475342317,8083971482
8,당기법인세자산,0,0,132132440
9,비유동자산,379213936964,176853062853,120558752364
10,장기금융자산,3460635464,1924186412,1214589636
13,유형자산,341594350037,148162604215,115866006142
14,무형자산,1093001395,1178994372,1200970118
16,이연법인세자산,7165684630,934507964,999069024
17,자산총계,818655924091,403737992608,260701295701
18,부채,,,
19,유동부채,148425084497,67292681252,19846650780
21,단기금융부채,110313156529,43238435429,10666954374
23,당기법인세부채,1151459520,9418807346,1913234333
24,기타유동부채,298390600,693998519,187220240
25,유동리스부채,109824152,216372667,120577604
26,비유동부채,275390398111,30389962541,16304559018
27,장기금융부채,274368217120,29250000000,209124866
28,리스부채,113103421,257569971,15000000000
29,확정급여부채,,,423170292
31,부채총계,423815482608,97682643793,36151209798
41,자본과부채총계,818655924091,403737992608,260701295701
