,corp_name,2020esg,2021esg,2022esg,2023esg
0,기아,A+,A+,B+,B
1,S-Oil,A+,A+,A,A+
2,풀무원,A+,A+,A,A
3,케이티,A+,A+,A,A
4,SK,A+,A+,A+,A+
5,NAVER,A+,A+,A,A+
6,포스코인터내셔널,A+,A+,A,A
7,신한지주,A+,A+,A+,A+
8,SK이노베이션,A+,A+,A,A+
9,BNK금융지주,A+,A+,A,A
10,DGB금융지주,A+,A+,A,A
11,JB금융지주,A+,A+,A,A
12,CJ대한통운,A,A,B+,A
13,두산,A,A,B+,B+
14,DL,A,A,A,A
15,일동홀딩스,A,A,B+,A
16,한국앤컴퍼니,A,A,B,B+
17,노루홀딩스,A,A,A,A
18,한화손해보험,A,A,A,A
19,롯데손해보험,A,A,B+,B+
20,동아쏘시오홀딩스,A,A,A,A
21,SK하이닉스,A,A,B+,A
22,현대건설,A,A,A,A
23,삼성화재해상보험,A,A,A,A
24,한화,A,A,A,A
25,DB하이텍,A,A,B,B+
26,CJ,A,A,B+,A
27,LX인터내셔널,A,A,A,B+
28,대한전선,A,A,A,A
29,현대해상,A,A,B+,A
30,현대차증권,A,A,A,A
31,대상,A,A,B+,A
32,SK네트웍스,A,A,A,A
33,오리온홀딩스,A,A,A,A
34,한진,A,A,B+,A
35,한독,A,A,B+,A
36,아모레퍼시픽그룹,A,A,A,A
37,TYM,A,A,B+,B+
38,삼양식품,A,A,B+,A
39,쌍용씨앤이,A,A,B+,B+
40,대한항공,A,A,A,A
41,대신증권,A,A,B+,B+
42,LG,A,A,A,A
43,롯데정밀화학,A,A,A,A+
44,현대제철,A,A,A,A
45,한솔홀딩스,A,A,A,A
46,신세계,A,A,A,A
47,현대비앤지스틸,A,A,C,B
48,한솔테크닉스,A,A,B+,B+
49,효성,A,A,B+,A
50,롯데지주,A,A,A,A
51,빙그레,A,A,A,A
52,롯데칠성음료,A,A,B+,A
53,현대자동차,A,A,B+,A
54,DB손해보험,A,A,B+,B+
55,NH투자증권,A,A,B+,A
56,SK디스커버리,A,A,A,A
57,제주은행,A,A,B+,B+
58,LS,A,A,C,A
59,GS건설,A,A,A,A
60,삼성SDI,A,A,A,A
61,GS리테일,A,A,A,A
62,오뚜기,A,A,C,B+
63,대덕,A,A,B+,B+
64,호텔신라,A,A,A,A
65,한미사이언스,A,A,B+,B+
66,삼성전기,A,A,A,A
67,무림페이퍼,A,A,B,B+
68,한샘,A,A,A,A
69,무림P&P,A,A,B+,B+
70,한화솔루션,A,A,B,B+
71,영원무역홀딩스,A,A,C,B+
72,OCI,A,A,A,A
73,엘에스일렉트릭,A,A,A,A
74,한솔피엔에스,A,A,B,B+
75,현대미포조선,A,A,B+,A
76,LG이노텍,A,A,A,A
77,롯데케미칼,A,A,A,B+
78,HMM,A,A,A,A
