,회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익
0,기아,00106641,000270,2022,B+,"73,710,965,000,000","34,367,884,000,000","7,233,120,000,000","7,501,993,000,000"
1,S-Oil,00138279,010950,2022,A,"19,613,135,000,000","11,129,666,000,000","3,405,166,000,000","2,898,542,000,000"
2,풀무원,00155355,017810,2022,A,"2,049,217,755,236","1,502,570,984,984","26,331,500,743","-18,413,093,758"
3,케이티,00190321,030200,2022,A,"40,980,681,000,000","22,565,958,000,000","1,690,088,000,000","1,894,067,000,000"
4,SK,00181712,034730,2022,A+,"194,505,860,000,000","122,697,070,000,000","8,004,710,000,000","5,908,697,000,000"
5,NAVER,00266961,035420,2022,A,"33,899,042,889,136","10,448,720,408,685","1,304,664,410,543","1,083,717,091,152"
6,포스코인터내셔널,00124504,047050,2022,A,"12,516,336,931,000","8,118,209,853,000","902,507,009,000","742,146,584,000"
7,SK이노베이션,00631518,096770,2022,A,"67,218,924,277,000","43,976,612,895,000","3,917,340,789,000","2,860,190,277,000"
8,CJ대한통운,00113410,000120,2022,B+,"9,693,299,818,264","5,658,991,479,602","411,786,887,242","285,343,810,348"
9,두산,00117212,000150,2022,B+,"26,315,352,623,211","16,017,536,857,154","1,126,028,726,422","-285,903,924,711"
10,DL,00109693,000210,2022,A,"12,018,993,889,708","7,401,228,917,375","287,459,456,441","124,682,619,501"
11,일동홀딩스,00146083,000230,2022,B+,"862,553,166,894","693,452,985,420","-98,410,983,144","-172,950,439,727"
12,한국앤컴퍼니,00160047,000240,2022,B,"4,301,818,675,789","445,377,543,909","245,248,895,826","247,275,364,312"
13,노루홀딩스,00113508,000320,2022,A,"1,171,989,377,978","511,163,923,981","29,976,023,937","41,994,647,356"
14,동아쏘시오홀딩스,00116824,000640,2022,A,"1,731,452,067,203","732,791,277,454","37,854,827,137","17,608,580,037"
15,SK하이닉스,00164779,000660,2022,B+,"103,871,512,000,000","40,580,970,000,000","6,809,417,000,000","4,002,780,000,000"
16,현대건설,00164478,000720,2022,A,"20,911,708,000,000","10,987,431,000,000","574,902,000,000","753,815,000,000"
17,한화,00160588,000880,2022,A,"211,175,324,000,000","190,296,497,000,000","2,516,091,000,000","2,276,045,000,000"
18,DB하이텍,00160843,000990,2022,B,"2,122,700,474,808","484,416,396,415","768,746,685,740","747,138,338,305"
19,CJ,00148540,001040,2022,B+,"48,240,408,307,000","30,506,774,819,000","2,154,201,790,000","1,056,239,012,000"
20,LX인터내셔널,00120076,001120,2022,A,"7,719,007,333,629","4,682,532,060,717","965,543,470,335","1,133,187,692,778"
21,대한전선,00113207,001440,2022,A,"1,620,264,871,000","738,060,568,000","48,173,734,000","31,378,453,000"
22,대상,00121941,001680,2022,B+,"3,190,196,448,368","1,867,569,946,984","139,998,990,821","110,932,873,119"
23,SK네트웍스,00131780,001740,2022,A,"9,499,259,000,000","7,048,547,000,000","154,211,000,000","81,486,000,000"
24,오리온홀딩스,00117577,001800,2022,A,"5,102,168,431,194","977,214,307,936","399,824,809,538","421,165,629,185"
25,한진,00163512,002320,2022,B+,"4,093,197,691,709","2,558,814,752,905","114,501,782,947","38,290,826,956"
26,한독,00161046,002390,2022,B+,"871,106,170,067","489,250,127,554","28,496,185,960","7,316,158,114"
27,아모레퍼시픽그룹,00154462,002790,2022,A,"7,651,003,801,454","1,117,500,460,491","271,900,712,401","288,378,389,515"
28,TYM,00117230,002900,2022,B+,"782,128,426,554","447,666,197,323","122,015,643,800","122,780,246,484"
29,삼양식품,00126955,003230,2022,B+,"924,929,490,964","470,165,749,462","90,375,676,138","101,955,896,513"
30,쌍용씨앤이,00138224,003410,2022,B+,"3,874,346,066,243","2,281,205,119,386","220,871,335,735","171,177,682,136"
31,대한항공,00113526,003490,2022,A,"28,997,701,022,484","19,705,240,815,659","2,830,586,753,727","2,562,134,998,034"
32,LG,00120021,003550,2022,A,"29,633,677,000,000","3,399,491,000,000","1,941,380,000,000","2,045,618,000,000"
33,롯데정밀화학,00157681,004000,2022,A,"2,709,845,870,581","415,627,340,272","404,310,707,357","160,079,935,956"
34,현대제철,00145880,004020,2022,A,"36,800,955,829,773","17,672,412,852,352","1,616,457,125,289","1,348,558,027,452"
35,한솔홀딩스,00171636,004150,2022,A,"723,295,784,000","125,962,865,000","19,097,970,000","57,651,446,000"
36,신세계,00136378,004170,2022,A,"14,348,412,322,688","8,096,632,950,057","645,448,993,543","521,874,825,260"
37,현대비앤지스틸,00125743,004560,2022,C,"857,843,841,402","333,016,274,702","33,466,461,486","33,048,654,435"
38,한솔테크닉스,00157399,004710,2022,B+,"1,071,921,900,693","631,895,650,677","55,104,959,837","36,348,453,753"
39,효성,00117188,004800,2022,B+,"5,267,284,720,508","2,369,980,096,744","64,887,143,335","20,858,603,953"
40,롯데지주,00120562,004990,2022,A,"22,175,416,666,050","12,409,157,931,313","489,830,602,915","499,860,555,981"
41,빙그레,00124726,005180,2022,A,"769,266,587,599","193,497,612,928","39,407,655,268","36,724,028,656"
42,롯데칠성음료,00120571,005300,2022,B+,"3,695,935,640,310","2,283,769,460,026","222,858,437,341","169,386,857,154"
43,현대자동차,00164742,005380,2022,B+,"255,742,462,000,000","164,845,917,000,000","9,819,769,000,000","10,947,943,000,000"
44,SK디스커버리,00131832,006120,2022,A,"11,780,098,492,498","5,826,776,624,464","362,228,951,564","539,051,827,627"
45,LS,00105952,006260,2022,C,"16,813,978,000,000","11,259,315,000,000","670,941,000,000","657,920,000,000"
46,GS건설,00120030,006360,2022,A,"16,946,616,696,898","11,590,413,888,307","554,834,830,515","664,897,622,799"
47,삼성SDI,00126362,006400,2022,A,"30,257,525,171,127","13,040,023,014,999","1,808,013,013,202","2,652,275,388,730"
48,GS리테일,00140177,007070,2022,A,"9,832,423,124,845","5,412,417,744,683","245,131,973,064","75,063,718,353"
49,오뚜기,00141529,007310,2022,C,"3,569,760,859,068","1,622,240,967,893","185,656,436,842","283,520,143,943"
50,대덕,00109189,008060,2022,B+,"1,903,351,069,081","419,083,389,342","196,865,725,672","187,799,491,185"
51,호텔신라,00165680,008770,2022,A,"2,938,544,987,435","2,398,761,037,870","78,346,330,937","-59,647,312,581"
52,한미사이언스,00161426,008930,2022,B+,"1,109,690,934,182","384,942,964,397","67,626,014,492","73,179,718,929"
53,삼성전기,00126371,009150,2022,A,"10,997,170,898,641","3,303,686,219,356","1,182,835,924,271","1,186,828,087,730"
54,무림페이퍼,00136086,009200,2022,B,"2,429,133,745,988","1,739,726,817,209","96,311,787,654","41,592,516,874"
55,한샘,00161693,009240,2022,A,"1,099,679,540,571","654,251,595,301","-21,690,245,389","-83,461,021,812"
56,무림P&P,00119007,009580,2022,B+,"1,604,057,802,775","941,368,622,014","68,291,305,211","54,964,533,741"
57,한화솔루션,00162461,009830,2022,B,"23,831,697,412,977","13,934,785,853,643","966,247,380,110","569,238,863,544"
58,영원무역홀딩스,00140964,009970,2022,C,"5,490,219,711,184","1,503,556,312,790","1,002,198,707,249","1,083,402,103,654"
59,OCI,00148896,010060,2022,A,"6,745,534,254,000","2,734,136,888,000","976,672,782,000","1,001,629,603,000"
60,엘에스일렉트릭,00105855,010120,2022,A,"3,322,804,977,898","1,773,513,972,232","187,524,016,869","126,966,694,511"
61,한솔피엔에스,00103626,010420,2022,B,"134,944,512,348","83,843,135,370","2,686,828,469","2,870,110,705"
62,현대미포조선,00164609,010620,2022,B+,"4,748,245,499,000","2,572,981,743,000","-109,066,121,000","-63,247,650,000"
63,LG이노텍,00105961,011070,2022,A,"9,793,617,826,430","5,527,824,867,091","1,271,751,532,028","1,135,062,357,037"
64,롯데케미칼,00165413,011170,2022,A,"26,784,587,810,580","9,520,345,523,797","-762,606,983,916","-392,619,240,018"
65,HMM,00164645,011200,2022,A,"25,973,455,000,000","5,285,543,000,000","9,951,555,000,000","10,183,729,000,000"
66,현대위아,00106623,011210,2022,A,"7,546,451,000,000","3,812,800,000,000","212,115,000,000","86,063,000,000"
67,현대코퍼레이션,00164812,011760,2022,B,"1,831,301,801,553","1,394,707,519,478","66,827,508,014","90,537,641,434"
68,SKC,00139889,011790,2022,A,"6,393,092,564,908","4,151,241,803,700","220,255,942,998","159,297,081,484"
69,현대모비스,00164788,012330,2022,A,"55,406,698,000,000","17,599,066,000,000","2,026,531,000,000","3,362,612,000,000"
70,한화에어로스페이스,00126566,012450,2022,B+,"15,157,301,978,809","11,233,518,424,948","377,215,126,599","174,616,406,341"
71,에스원,00158501,012750,2022,B+,"2,075,658,595,502","552,669,332,935","204,138,904,290","200,760,270,160"
72,한솔케미칼,00140955,014680,2022,B,"1,253,310,602,636","400,814,014,226","185,990,108,464","194,237,859,330"
73,SK텔레콤,00159023,017670,2022,A,"31,308,262,000,000","19,153,066,000,000","1,612,070,000,000","1,236,152,000,000"
74,현대엘리베이터,00164724,017800,2022,B,"3,014,471,063,421","1,847,719,039,348","43,016,096,622","110,105,864,213"
75,애경산업,00139454,018250,2022,A,"482,639,615,354","123,665,920,018","39,038,794,156","22,750,105,839"
76,삼성에스디에스,00126186,018260,2022,A,"11,952,424,889,489","3,485,454,954,575","916,074,023,314","1,132,080,207,483"
77,SK가스,00144164,018670,2022,A,"5,831,776,891,571","3,490,881,745,324","390,470,990,382","355,031,851,860"
78,한섬,00188089,020000,2022,B+,"1,684,715,498,594","348,223,076,669","168,315,660,882","161,773,696,909"
79,코웨이,00170558,021240,2022,B+,"4,365,074,875,331","2,053,106,158,533","677,378,551,681","683,308,004,068"
80,롯데쇼핑,00120526,023530,2022,A,"31,703,575,873,070","20,668,459,087,068","386,225,594,610","-567,342,307,033"
81,한솔홈데코,00203582,025750,2022,B,"319,496,520,639","166,074,493,275","2,714,713,037","-6,157,071,692"
82,BGF,00219097,027410,2022,B+,"1,938,013,970,903","201,490,551,514","61,203,792,653","38,895,385,596"
83,삼성엔지니어링,00126308,028050,2022,A,"7,848,723,222,714","5,271,682,815,759","702,942,994,188","715,715,164,329"
84,삼성물산,00149655,028260,2022,A,"58,981,492,466,950","27,017,371,086,433","2,528,524,413,589","3,334,546,525,257"
85,신세계인터내셔날,00234412,031430,2022,B+,"1,278,681,814,634","445,005,786,973","115,270,511,523","136,726,798,870"
86,신세계푸드,00274933,031440,2022,B,"903,927,240,057","611,858,315,900","20,577,349,768","-4,859,422,816"
87,LG유플러스,00231363,032640,2022,A,"19,774,800,000,000","11,325,133,000,000","1,081,260,000,000","856,812,000,000"
88,케이티앤지,00244455,033780,2022,A,"12,301,715,783,797","2,943,135,752,405","1,267,649,967,727","1,429,519,571,832"
89,강원랜드,00255619,035250,2022,A,"4,167,752,670,696","752,374,769,957","217,565,214,200","167,851,826,370"
90,카카오,00258801,035720,2022,A,"22,963,491,575,614","9,431,629,284,734","580,315,993,061","1,304,363,372,795"
91,엔씨소프트,00261443,036570,2022,A,"4,437,632,450,781","1,239,083,608,249","559,006,120,606","609,050,943,296"
92,팜스코,00260408,036580,2022,B,"1,223,174,230,326","945,322,533,351","18,799,101,788","-37,585,486,981"
93,광주신세계,00220561,037710,2022,B+,"913,454,051,041","123,544,314,603","65,584,851,127","76,860,199,739"
94,KSS해운,00160232,044450,2022,B+,"1,659,172,643,001","1,252,892,414,726","69,511,091,603","46,647,231,356"
95,대우건설,00124540,047040,2022,B+,"11,140,353,752,210","7,415,736,590,714","760,006,514,642","713,497,588,646"
96,한국항공우주,00309503,047810,2022,B,"7,772,406,693,424","6,319,189,867,558","141,617,667,318","122,121,929,956"
97,LG생활건강,00356370,051900,2022,A,"7,302,929,652,203","1,834,093,663,954","711,122,934,369","417,769,360,752"
98,케이티스카이라이프,00349097,053210,2022,A,"1,361,298,311,421","503,764,190,486","63,195,741,120","33,430,748,587"
99,한미글로벌,00413523,053690,2022,B+,"373,059,659,521","178,412,243,082","30,651,133,401","32,693,557,928"
100,현대홈쇼핑,00412597,057050,2022,A,"2,782,027,992,185","823,288,672,056","110,640,961,829","96,757,694,526"
101,KTcs,00372882,058850,2022,A,"416,146,080,400","224,569,291,252","24,326,774,606","23,777,866,394"
102,KTis,00372873,058860,2022,B+,"396,208,069,290","199,203,706,481","19,544,619,038","19,862,606,504"
103,현대로템,00302926,064350,2022,A,"4,823,869,784,000","3,332,399,192,000","147,486,669,000","103,880,637,000"
104,LG전자,00401731,066570,2022,A,"55,156,141,000,000","32,664,144,000,000","3,550,972,000,000","2,539,811,000,000"
105,SK렌터카,00201450,068400,2022,B+,"3,341,970,518,606","2,825,634,202,145","95,091,041,984","30,400,993,706"
106,현대백화점,00428251,069960,2022,A,"12,069,249,655,000","5,702,018,783,000","320,928,734,000","246,711,565,000"
107,지역난방공사,00159698,071320,2022,A+,"7,478,129,879,658","5,811,126,778,301","-403,893,693,760","-257,878,151,428"
