corp_name,2023esg,corp_code,stock_code
기아,B,106641,000270
S-Oil,A+,138279,010950
풀무원,A,155355,017810
케이티,A,190321,030200
SK,A+,181712,034730
NAVER,A+,266961,035420
포스코인터내셔널,A,124504,047050
신한지주,A+,382199,055550
SK이노베이션,A+,631518,096770
BNK금융지주,A,858364,138930
DGB금융지주,A,878915,139130
JB금융지주,A,980122,175330
CJ대한통운,A,113410,000120
두산,B+,117212,000150
DL,A,109693,000210
일동홀딩스,A,146083,000230
한국앤컴퍼니,B+,160047,000240
노루홀딩스,A,113508,000320
한화손해보험,A,135917,000370
롯데손해보험,B+,113562,000400
동아쏘시오홀딩스,A,116824,000640
SK하이닉스,A,164779,000660
현대건설,A,164478,000720
삼성화재해상보험,A,139214,000810
한화,A,160588,000880
DB하이텍,B+,160843,000990
CJ,A,148540,001040
LX인터내셔널,B+,120076,001120
대한전선,A,113207,001440
현대해상,A,164973,001450
현대차증권,A,137997,001500
대상,A,121941,001680
SK네트웍스,A,131780,001740
오리온홀딩스,A,117577,001800
한진,A,163512,002320
한독,A,161046,002390
아모레퍼시픽그룹,A,154462,002790
TYM,B+,117230,002900
삼양식품,A,126955,003230
쌍용씨앤이,B+,138224,003410
대한항공,A,113526,003490
대신증권,B+,110893,003540
LG,A,120021,003550
롯데정밀화학,A+,157681,004000
현대제철,A,145880,004020
한솔홀딩스,A,171636,004150
신세계,A,136378,004170
현대비앤지스틸,B,125743,004560
한솔테크닉스,B+,157399,004710
효성,A,117188,004800
롯데지주,A,120562,004990
빙그레,A,124726,005180
롯데칠성음료,A,120571,005300
현대자동차,A,164742,005380
DB손해보험,B+,159102,005830
NH투자증권,A,120182,005940
SK디스커버리,A,131832,006120
제주은행,B+,148832,006220
LS,A,105952,006260
GS건설,A,120030,006360
삼성SDI,A,126362,006400
GS리테일,A,140177,007070
오뚜기,B+,141529,007310
대덕,B+,109189,008060
호텔신라,A,165680,008770
한미사이언스,B+,161426,008930
삼성전기,A,126371,009150
무림페이퍼,B+,136086,009200
한샘,A,161693,009240
무림P&P,B+,119007,009580
한화솔루션,B+,162461,009830
영원무역홀딩스,B+,140964,009970
OCI,A,148896,010060
엘에스일렉트릭,A,105855,010120
한솔피엔에스,B+,103626,010420
현대미포조선,A,164609,010620
LG이노텍,A,105961,011070
롯데케미칼,B+,165413,011170
HMM,A,164645,011200
현대위아,A+,106623,011210
현대코퍼레이션,B+,164812,011760
SKC,A+,139889,011790
현대모비스,A,164788,012330
한화에어로스페이스,A,126566,012450
에스원,B+,158501,012750
한솔케미칼,B+,140955,014680
삼성증권,B+,104856,016360
SK텔레콤,A,159023,017670
현대엘리베이터,B+,164724,017800
애경산업,A,139454,018250
삼성에스디에스,A,126186,018260
SK가스,A+,144164,018670
한섬,A,188089,020000
코웨이,A,170558,021240
롯데쇼핑,A,120526,023530
한솔홈데코,B+,203582,025750
BGF,A,219097,027410
삼성엔지니어링,A,126308,028050
삼성물산,A+,149655,028260
삼성카드,A,126292,029780
신세계인터내셔날,A,234412,031430
신세계푸드,A,274933,031440
LG유플러스,A,231363,032640
삼성생명,A,126256,032830
케이티앤지,A+,244455,033780
강원랜드,A,255619,035250
카카오,A,258801,035720
엔씨소프트,A,261443,036570
팜스코,A,260408,036580
광주신세계,A,220561,037710
KSS해운,B+,160232,044450
대우건설,A,124540,047040
한국항공우주,B+,309503,047810
LG생활건강,A,356370,051900
케이티스카이라이프,B+,349097,053210
한미글로벌,B+,413523,053690
현대홈쇼핑,A,412597,057050
KTcs,A,372882,058850
KTis,B+,372873,058860
현대로템,A,302926,064350
LG전자,A,401731,066570
SK렌터카,A,201450,068400
현대백화점,A+,428251,069960
지역난방공사,A+,159698,071320
롯데하이마트,A,158307,071840
GS,B,500254,078930
CJ CGV,A,303873,079160
현대리바트,A,300548,079430
LIG넥스원,A,503668,079550
휴비스,A,362238,079980
휠라홀딩스,A,195229,081660
HSD엔진,B+,361008,082740
대상홀딩스,B+,539274,084690
현대글로비스,A+,360595,086280
하나금융지주,A,547583,086790
한화생명,A,113058,088350
노루페인트,B+,583442,090350
아모레퍼시픽,A,583424,090430
CJ제일제당,A,635134,097950
LX하우시스,A,759513,108670
코오롱인더,B+,795135,120110
한미약품,B+,828497,128940
이마트,A,872984,139480
삼양사,B+,896285,145990
동아에스티,A,956930,170900
한진칼,A,983040,180640
종근당,B+,992871,185750
코스맥스,B,1009789,192820
해성디에스,A,1032413,195870
서연이화,B+,1036446,200880
삼성바이오로직스,A+,877059,207940
SK디앤디,A,508344,210980
한솔제지,A,1060744,213500
이노션,B+,565154,214320
일동제약,B+,1168383,249420
경동도시가스,C,1208885,267290
오리온,A,1238169,271560
한화시스템,A,339391,272210
BGF리테일,A,1263022,282330
SK케미칼,A+,1267170,285130
롯데정보통신,A,1262032,286940
효성화학,A,1316236,298000
효성티앤씨,A,1316227,298020
효성중공업,A,1316245,298040
효성첨단소재,A,1316254,298050
현대오토에버,A,362441,307950
우리금융지주,A,1350869,316140
하림지주,B+,148364,003380
CJ ENM,B+,265324,035760
케이티알파,B+,260958,036030
현대에버다임,A,228536,041440
CJ프레시웨이,A,127954,051500
현대바이오랜드,A,347062,052260
에스티팜,A,871833,237690
삼양홀딩스,B+,126937,000070
하이트진로,B,150244,000080
유한양행,A,145109,000100
하이트진로홀딩스,B+,148993,000140
삼화페인트공업,B+,129387,000390
대동,C,109286,000490
가온전선,B+,104768,000500
흥국화재,B+,103176,000540
유수홀딩스,B+,163691,000700
동국제강,A,114792,001230
GS글로벌,B+,138190,001250
SK증권,B+,131850,001510
종근당홀딩스,B+,149354,001630
DL건설,A,128971,001880
아세아,A,138701,002030
도화엔지니어링,B,114552,002150
고려제강,C,103006,002240
넥센타이어,B+,173874,002350
케이씨씨,A,105271,002380
SUN&L,C,132211,002820
세아제강지주,B+,124197,003030
일신방직,D,146269,003200
태광산업,C,153393,003240
한일홀딩스,A,162993,003300
영진약품,B+,141149,003520
한화투자증권,A,148610,003530
코리안리,A,113191,003690
대한화섬,C,113544,003830
남양유업,B,107598,003920
사조대림,B,109718,003960
한국석유공업,B+,157991,004090
농심,B+,108241,004370
삼익THK,C,127802,004380
서울식품공업,D,130879,004410
삼천리,C,128555,004690
DRB동일,B+,118266,004840
성신양회,B,132804,004980
SGC에너지,B+,125150,005090
녹십자홀딩스,B+,108135,005250
SPC삼립,C,125530,005610
넥센,B+,167192,005720
에스엘,B+,125521,005850
삼성전자,A,126380,005930
화승인더스트리,B+,166227,006060
녹십자,B+,129679,006280
한일현대시멘트,B+,164672,006390
미래에셋증권,A,111722,006800
AK홀딩스,A,125080,006840
사조산업,B,124799,007160
이수페타시스,C,107613,007660
F&F 홀딩스,A,126487,007700
서연,B+,163114,007860
메리츠증권,,163682,008560
한솔로지스틱스,B,140946,009180
태영건설,A,153861,009410
경동나비엔,B,101488,009450
삼성중공업,A,126478,010140
화신,B+,166315,010690
아이에스동서,B+,115977,010780
금호석유화학,A,106368,011780
계양전기,C,102618,012200
경동인베스트,C,143527,012320
HDC,B+,164636,012630
화승코퍼레이션,B,166272,013520
유니드,B+,159786,014830
예스코홀딩스,B,105101,015360
한국전력공사,B+,159193,015760
서울도시가스,C,130684,017390
E1,A,165583,017940
한국카본,B,159795,017960
한온시스템,B+,161125,018880
세아특수강,A,133991,019440
대교,B+,108913,019680
다우기술,B+,176914,023590
기업은행,A,149646,024110
한국콜마홀딩스,A,203290,024720
팬오션,A,122737,028670
제일기획,A,148276,030000
LG디스플레이,B+,105873,034220
신세계건설,B+,217947,034300
NICE,B+,158316,034310
신세계I&C,A,219486,035510
한국가스공사,A,261285,036460
SNT홀딩스,B,225159,036530
LG헬로비전,A,222532,037560
하나투어,B+,269940,039130
코스맥스비티아이,B,219574,044820
동원F&B,B,340917,049770
LG화학,A,356361,051910
한전기술,A,159209,052690
테이팩스,A,256955,055490
세아홀딩스,B+,377610,058650
종근당바이오,B+,390055,063160
셀트리온,B,413046,068270
한국금융지주,B+,432102,071050
농심홀딩스,B+,459871,072710
금호타이어,A,481454,073240
STX엔진,C,480455,077970
에이블씨엔씨,C,400857,078520
동양생명,B,117267,082640
미래에셋생명,B+,112332,085620
HDC현대EP,B+,357935,089470
제주항공,A,555874,089590
후성,B+,595191,093370
효성 ITX,B+,414850,094280
웅진씽크빅,B+,628189,095720
동성케미컬,A,679314,102260
풍산,B+,684714,103140
영원무역,B+,776820,111770
GKL,B+,557508,114090
한전산업,C,194947,130660
선진,B+,855093,136490
메리츠금융지주,B+,860332,138040
코오롱플라스틱,B,241005,138490
한국타이어앤테크놀로지,B,937324,161390
한국콜마,A,939331,161890
동일고무벨트,A,939687,163560
엔에이치엔,A,983271,181710
아세아시멘트,B+,990165,183190
경보제약,B+,101664,214390
잇츠한불,C,911955,226320
현대코퍼레이션홀딩스,B+,1108099,227840
두산밥캣,A,1032486,241560
화승엔터프라이즈,B+,1128613,241590
넷마블,B+,904672,251270
진에어,A,653024,272450
삼양패키징,B,1060814,272550
한일시멘트,A,1319808,300720
세아제강,A,1325979,306200
두산퓨얼셀,A,1412725,336260
동진쎄미켐,B,118804,005290
NICE평가정보,B,158325,030190
주성엔지니어링,B,252135,036930
지니뮤직,C,223762,043610
서울반도체,C,130763,046890
안랩,B+,298270,053800
에스에프에이,C,358271,056190
엘앤에프,C,398701,066970
아이티엠반도체,B+,579980,084850
에코프로,C,536541,086520
나스미디어,B+,486097,089600
비에이치,C,447609,090460
셀트리온헬스케어,C,554024,091990
고영,B+,579999,098460
LX세미콘,B+,525934,108320
하림,A,857727,136480
케어젠,B,549891,214370
원익IPS,B,1135941,240810
매일유업,A,1234507,267980
동화약품,C,119195,000020
유유제약,D,144818,000220
대원강업,C,111847,000430
조선내화,D,148984,000480
삼일제약,C,128032,000520
CS홀딩스,C,149026,000590
천일고속,D,151395,000650
화천기공,C,166519,000850
강남제비스코,B+,100939,000860
유니온,C,144252,000910
페이퍼코리아,D,134723,001020
JW중외제약,B+,149947,001060
대한제분,D,113243,001130
금호전기,D,106395,001210
백광산업,D,122472,001340
BYC,D,122579,001460
신영증권,B+,136721,001720
대한제당,C,113234,001790
KISCO홀딩스,D,159740,001940
코오롱,B+,152862,002020
경농,C,101433,002100
삼양통상,C,127042,002170
한국수출포장공업,D,158112,002200
아세아제지,C,138729,002310
SH에너지화학,C,136457,002360
화성산업,C,174527,002460
제일파마홀딩스,C,148443,002620
TCC스틸,C,117300,002710
국제약품,C,104722,002720
삼영무역,C,127167,002810
한국쉘석유,C,158149,002960
혜인,D,165343,003010
코오롱글로벌,C,152880,003070
성보화학,D,132725,003080
대웅,B+,111810,003090
디아이,D,118275,003160
대원제약,B,111999,003220
한진중공업홀딩스,C,163673,003480
신흥,C,173795,004080
현대약품,C,164706,004310
세방,B+,133812,004360
삼일씨엔에스,D,109806,004440
삼화왕관,D,129235,004450
세방전지,C,133858,004490
깨끗한나라,B+,113492,004540
동일산업,C,172936,004890
조광페인트,C,148920,004910
코스모신소재,C,129989,005070
한창,D,163716,005110
국동,C,168331,005320
모나미,D,121288,005360
코스모화학,D,160302,005420
한국공항,B+,156691,005430
삼진제약,C,128412,005500
삼영전자공업,D,127200,005680
파미셀,D,145163,005690
크라운해태홀딩스,D,153126,005740
풍산홀딩스,B+,155531,005810
원림,C,143794,005820
휴니드테크놀러지스,D,111421,005870
대한해운,C,113535,005880
이수화학,C,145552,005950
동원산업,B+,118026,006040
삼아알미늄,C,126779,006110
한국전자홀딩스,D,159254,006200
대구백화점,C,108977,006370
카프로,C,159810,006380
대한유화,B+,260383,006650
영풍제지,C,141404,006740
벽산,C,122898,007210
한국특강,C,124090,007280
샘표,C,130091,007540
국도화학,D,104388,007690
코리아써키트,D,152686,007810
태평양물산,D,154329,007980
사조동아원,C,137252,008040
서흥,B+,131692,008490
율촌화학,D,145260,008730
케이씨티시,D,103042,009070
SIMPAC,D,138260,009160
신원,C,136864,009270
광동제약,C,103592,009290
참엔지니어링,D,153621,009310
한올바이오파마,B,162586,009420
KC그린홀딩스,C,159971,009440
모토닉,C,151128,009680
한국내화,C,160205,010040
우리종금,B+,104102,010050
고려아연,B,102858,010130
웰바이오텍,D,141273,010600
평화홀딩스,C,155124,010770
에넥스,C,139764,011090
CJ씨푸드,B+,129013,011150
유니켐,D,137207,011330
STX,C,138297,011810
신성이엔지,D,136271,011930
DB,C,163345,012030
영흥,C,141477,012160
더존비즈온,C,172291,012510
모나리자,B+,173102,012690
일성건설,D,146232,013360
디와이,C,117179,013570
영보화학,D,140779,014440
극동유화,D,105156,014530
사조씨푸드,B,124780,014710
동원시스템즈,B,132637,014820
대창단조,C,112679,015230
태경산업,C,153339,015890
대현,C,113614,016090
한세예스24홀딩스,A,161976,016450
환인제약,B,166573,016580
DB금융투자,B,115694,016610
대성홀딩스,C,108940,016710
두올,C,119672,016740
퍼시스,D,161709,016800
웅진,B+,143651,016880
명문제약,C,121039,017180
우신시스템,C,142883,017370
광전자,D,152729,017900
조일알미늄,C,149239,018470
신풍제약,D,137359,019170
티에이치엔,C,118965,019180
키다리스튜디오,D,140131,020120
일진디스플,C,198697,020760
서원,C,131197,021050
MH에탄올,D,121534,023150
한국종합기술,C,159500,023350
대원화성,D,112022,024890
에스제이엠홀딩스,C,181943,025530
이구산업,C,145464,025820
남해화학,C,107987,025860
세하,C,133706,027970
케이씨,C,209780,029460
교보증권,B+,113359,030610
롯데관광개발,D,231372,032350
유나이티드,B,158963,033270
세종공업,D,134510,033530
무학,C,121543,033920
SBS,B+,130772,034120
키움증권,B+,296290,039490
상신브레이크,C,129642,041650
유니온머티리얼,C,369833,047400
우진플라임,C,303217,049800
한전KPS,A,159218,051600
다스코,C,353878,058730
SNT모티브,C,398792,064960
대호에이엘,C,428729,069460
하이스틸,C,435312,071090
코아스,B,210856,071950
STX중공업,C,406046,071970
유니퀘스트,C,414601,077500
그린케미칼,C,454946,083420
대한제강,C,113225,084010
동양고속,C,540641,084670
티비에이치글로벌,D,409672,084870
평화산업,D,573579,090080
티웨이항공,B,671376,091810
KEC,D,589127,092220
KPX홀딩스,C,587466,092230
동양피스톤,C,117726,092780
LF,B+,593032,093050
AJ네트웍스,B+,365387,095570
JW홀딩스,B+,632304,096760
비상교육,B,520887,100220
SNT에너지,D,648721,100840
해태제과식품,D,428321,101530
이연제약,C,145598,102460
한국철강,C,687711,104700
한세실업,B+,728638,105630
우진,C,173944,105840
컨버즈,D,753643,109070
씨에스윈드,A,670340,112610
대성에너지,C,787376,117580
아이마켓코리아,C,360142,122900
한국화장품,D,823429,123690
에스제이엠,C,815369,123700
인터지스,C,151368,129260
화인베스틸,D,661847,133820
핸즈코퍼레이션,C,119140,143210
덴티움,D,526599,145720
DSR,D,110608,155660
더블유게임즈,B,1010110,192080
쿠쿠홀딩스,D,132354,192400
디와이파워,C,1059605,210540
LS전선아시아,C,1093007,229640
JW생명과학,B+,225706,234080
샘표식품,C,1167056,248170
크라운제과,C,1205329,264900
케이씨텍,B,1261893,281820
쿠쿠홈시스,D,1267684,284740
하나제약,C,248974,293480
HDC현대산업개발,B+,1310269,294870
자이에스앤디,C,367844,317400
솔루스첨단소재,B,1412822,336370
포스코엠텍,A,128111,009520
오리콤,B,141671,010470
아주IB투자,B,156895,027360
원익홀딩스,C,216647,030530
다우데이타,C,238782,032190
케이엠더블유,C,226352,032500
파라다이스,C,171265,034230
JYP Ent.,B+,258689,035900
솔브레인홀딩스,C,247975,036830
삼표시멘트,A,239639,038500
에스엠,B+,260930,041510
코미팜,C,187415,041960
SBS콘텐츠허브,B+,280688,046140
인터플렉스,D,369170,051370
한국정보인증,D,306454,053300
이니텍,B+,353610,053350
농우바이오,D,176835,054050
신화인터텍,C,228350,056700
KT서브마린,C,225742,060370
드림어스컴퍼니,C,364467,060570
KH바텍,A,378628,060720
티씨케이,B,245472,064760
아프리카TV,C,399694,067160
멀티캠퍼스,C,425351,067280
웹젠,B,405320,069080
이베스트투자증권,C,330424,078020
국일제지,D,104573,078130
컴투스,B+,476498,078340
대주전자재료,C,177816,078600
유진테크,B,531014,084370
헬릭스미스,C,359395,084990
파트론,D,490151,091700
테스,B+,524421,095610
코오롱생명과학,C,525642,102940
위메이드,C,444329,112040
와이지엔터테인먼트,C,613318,122870
피엔티,C,612294,137400
휴젤,B,888347,145020
KG ETS,D,366137,151860
콜마비앤에이치,B+,1032404,200130
클래시스,B+,1061327,214150
파마리서치,B,970453,214450
골프존,C,1067516,215000
인크로스,B,819073,216050
휴온스,B,1159853,243070
에코프로비엠,B,1160363,247540
스튜디오드래곤,B+,1168684,253450
펄어비스,B+,1152470,263750
이녹스첨단소재,B+,1237540,272290
와이즈버즈,C,1236532,273060
천보,C,897752,278280
에이비엘바이오,C,1256864,298380
KR모터스,D,112378,000040
경방,C,101628,000050
성창기업지주,D,133335,000180
대유플러스,D,126089,000300
영풍,B+,141307,000670
LS네트웍스,B+,104698,000680
이화산업,C,145686,000760
보해양조,D,123541,000890
전방,D,147222,000950
한국주철관공업,D,159573,000970
대한방직,C,112970,001070
만호제강,C,120872,001080
유진증권,B,131054,001200
남광토건,D,107066,001260
부국증권,C,123772,001270
상상인증권,D,112059,001290
삼성제약,D,126414,001360
SG글로벌,D,152039,001380
KG케미칼,C,101220,001390
태원물산,D,154055,001420
삼부토건,C,125974,001470
동양,D,117337,001520
디아이동일,D,118345,001530
조비,D,148948,001550
제일연마,C,148461,001560
금양,D,106119,001570
케이비아이동국실업,D,114765,001620
한양증권,C,162416,001750
알루코,D,117027,001780
삼화콘덴서공업,D,129350,001820
고려산업,D,102751,002140
동성제약,C,116268,002210
한일철강,D,163196,002220
범양건영,D,122694,002410
세기상사,C,133618,002420
삼익악기,C,127857,002450
조흥,C,149345,002600
오리엔트바이오,D,141626,002630
동일제강,C,118451,002690
신일전자,D,173698,002700
보락,D,123107,002760
진흥기업,C,150828,002780
미원상사,C,121932,002840
대유에이텍,C,149804,002880
유성기업,C,174004,002920
금호건설,B,106313,002990
부광약품,B+,123718,003000
일성신약,C,146214,003120
한국화장품제조,D,160621,003350
유화증권,C,145190,003460
유안타증권,C,117601,003470
아이에이치큐,D,154426,003560
방림,C,122348,003610
미창석유공업,D,122056,003650
한성기업,C,161860,003680
SG세계물산,D,133511,004060
동방,C,115287,004140
엔피씨,D,108038,004250
남성,D,172185,004270
송원산업,C,134963,004430
조광피혁,C,148939,004700
팜젠사이언스,D,135050,004720
써니전자,D,138057,004770
덕성,C,114093,004830
티웨이홀딩스,D,109514,004870
씨아이테크,D,127158,004920
한신공영,D,162063,004960
신라교역,D,135962,004970
휴스틸,C,156488,005010
부산주공,C,124151,005030
신성통상,D,136341,005390
대림비앤코,C,109754,005750
신영와코루,D,136624,005800
동부건설,B+,115612,005960
사조오양,C,141875,006090
대원전선,D,260392,006340
인스코비,D,122825,006490
대림통상,D,109824,006570
삼성공조,C,126201,006660
신송홀딩스,C,136402,006880
태경케미컬,D,109161,006890
일신석재,D,146296,007110
미래아이앤지,D,104786,007120
일양약품,C,146454,007570
동방아그로,C,115384,007590
선도전기,D,131939,007610
대동전자,D,157104,008110
이건산업,D,145446,008250
NI스틸,D,116301,008260
남선알미늄,D,107224,008350
문배철강,D,121570,008420
일정실업,D,146542,008500
윌비스,D,104999,008600
아남전자,D,138516,008700
금비,D,168401,008870
동양철관,C,117629,008970
경인전자,D,102140,009140
대양금속,D,111111,009190
대우부품,D,111689,009320
한창제지,C,163761,009460
삼화전기,D,129271,009470
삼정펄프,D,128227,009770
우진아이엔에스,C,143262,010400
진양폴리우레탄,D,160375,010640
화천기계,C,166500,010660
퍼스텍,C,148522,010820
삼호개발,B+,128980,010960
진원생명과학,D,118521,011000
삼화전자공업,D,129280,011230
태림포장,B,153524,011280
부산산업,D,124027,011390
갤럭시아에스엠,D,129554,011420
한농화성,D,160861,011500
한신기계공업,D,162072,011700
아센디오,D,145437,012170
영화금속,C,141413,012280
경인양행,C,102113,012610
대창,D,112651,012800
계룡건설산업,B+,102432,013580
까뮤이앤씨,C,129420,013700
지엠비코리아,D,156354,013870
지누스,A,150633,013890
한익스프레스,C,129509,014130
대영포장,D,111458,014160
금강공업,C,105299,014280
태경비케이,C,122481,014580
성문전자,C,132628,014910
인디에프,D,106881,014990
이스타코,D,134565,015020
에이엔피,D,143314,015260
큐로,D,108746,015590
일진홀딩스,B,146649,015860
신대양제지,D,135777,016590
광명전기,D,103662,017040
수산중공업,C,135111,017550
동원금속,C,118008,018500
아시아나항공,A,138792,020560
세원정공,C,134316,021820
삼원강재,B,191588,023000
동남합성,D,115065,023450
인지컨트롤스,C,103510,023800
인팩,C,180795,023810
에쓰씨엔지니어링,D,121969,023960
WISCOM,C,142865,024070
디씨엠,C,177199,024090
덕양산업,C,114154,024900
KPX케미칼,C,191472,025000
한국단자공업,C,157070,025540
미래산업,D,197759,025560
제이준코스메틱,D,136776,025620
부국철강,D,123781,026940
동서,D,144395,026960
마니커,D,204208,027740
동아지질,D,178754,028100
신도리코,C,135795,029530
동원수산,D,118044,030720
비케이탑스,D,273615,030790
콤텍시스템,D,186559,031820
황금에스티,C,218575,032560
KH 필룩스,D,193009,033180
자화전자,D,146861,033240
체시스,D,125576,033250
인천도시가스,B,145862,034590
한국토지신탁,C,233653,034830
백산,D,122551,035150
YG PLUS,D,249247,037270
한미반도체,D,161383,042700
주연테크,D,269241,044380
진양화학,C,347734,051630
세이브존I&C,C,422895,067830
삼성출판사,C,423690,068290
대웅제약,B+,427483,069620
한세엠케이,C,357360,069640
DSR제강,C,151298,069730
용평리조트,D,365989,070960
유엔젤,D,416654,072130
이엔플러스,D,469799,074610
새론오토모티브,D,305668,075180
세진중공업,C,415628,075580
텔코웨어,C,361488,078000
일진다이아,D,508274,081000
이월드,D,540605,084680
엔케이,C,172228,085310
진도,D,557933,088790
메타랩스,D,442835,090370
세원이앤씨,D,585219,091090
디아이씨,D,112165,092200
기신정기,D,106614,092440
형지엘리트,D,441243,093240
진양홀딩스,C,646732,100250
인바이오젠,D,652423,101140
쌍방울,D,681142,102280
일진전기,D,683469,103590
미원홀딩스,C,706715,107590
호전실업,C,226316,111110
락앤락,C,561866,115390
KC코트렐,C,797364,119650
조선선재,D,796994,120030
한국자산신탁,C,404701,123890
대성산업,D,828789,128820
미원화학,C,855163,134380
시디즈,D,852087,134790
드림텍,C,415646,192650
제이에스코퍼레이션,D,332927,194370
금호에이치티,D,105606,214330
토니모리,C,816544,214420
미원에스씨,C,1234297,268280
제일약품,C,1236897,271980
동아타이어,D,1262458,282690
에어부산,C,651901,298690
삼천당제약,D,128546,000250
서부T&D,D,130383,006730
네이처셀,D,117276,007390
에스엠코어,C,137915,007820
SGC이테크건설,C,141246,016250
KCC건설,D,105466,021320
유진기업,D,184667,023410
한국캐피탈,D,149594,023760
동화기업,D,173032,025900
코엔텍,C,197476,029960
시그네틱스,D,158219,033170
코웰패션,D,155948,033290
네패스,C,227333,033640
KG이니시스,C,264547,035600
SFA반도체,D,301246,036540
영풍정밀,B,141389,036560
KCI,B+,265041,036670
이오테크닉스,C,246417,039030
오스코텍,D,263654,039200
나노엔텍,D,230425,039860
우리기술투자,D,231664,041190
KG모빌리언스,D,405278,046440
현대바이오,D,313649,048410
리노공업,C,369657,058470
인선이엔티,B,375931,060150
다원시스,D,523307,068240
셀트리온제약,D,541349,068760
차바이오텍,C,525679,085660
동국제약,C,114808,086450
메디톡스,D,580199,086900
에이스테크,D,556907,088800
상아프론테크,C,181299,089980
로보스타,D,536523,090360
아미코젠,B,545734,092040
제넥신,D,545929,095700
에스앤에스텍,C,411048,101490
이엔에프테크놀로지,C,530185,102710
티케이케미칼,D,693554,104480
원익머트리얼즈,B+,623661,104830
메지온,D,808022,140410
레고켐바이오,C,842619,141080
서진시스템,D,838005,178320
코리아에셋투자증권,D,304915,190650
알테오젠,C,989619,196170
