회사명,corp_code,재무제표,부채총계,법인세차감전 순이익,영업이익,정직원 수,비정규직 수,매출액,19현금흐름
기아,00106641,"55,344,798,000,000","26,366,660,000,000","2,531,104,000,000","2,009,680,000,000",35203.0,472.0,58145959000000.0,3610658000000.0
S-Oil,00138279,"16,333,401,000,000","9,836,775,000,000","110,351,000,000","420,077,000,000",726.0,32.0,24394173000000.0,679447000000.0
풀무원,00155355,"1,484,556,453,749","1,021,454,494,037","6,886,489,346","30,570,664,872",412.0,29.0,2381451203138.0,85410376723.0
케이티,00190321,"34,061,292,000,000","18,874,339,000,000","979,676,000,000","1,151,065,000,000",22810.0,562.0,24342064000000.0,3745173000000.0
SK,00181712,"132,020,676,000,000","79,838,041,000,000","2,776,568,000,000","3,949,864,000,000",824.0,130.0,97184175000000.0,8027739000000.0
NAVER,00266961,"12,299,527,120,786","5,795,601,052,206","866,722,133,963","710,070,173,513",3434.0,58.0,4356239667491.0,1356843480419.0
포스코인터내셔널,00124504,"8,959,415,088,000","5,911,354,252,000","329,978,106,000","605,317,746,000",348.0,44.0,24422574846000.0,1608967559000.0
SK이노베이션,00631518,"39,526,056,607,000","21,316,432,845,000","376,458,870,000","1,269,292,250,000",435.0,94.0,49801901616000.0,1825833804000.0
CJ대한통운,00113410,"9,110,016,110,171","5,454,770,837,946","93,833,541,248","307,186,346,174",860.0,234.0,10415108625820.0,850274679030.0
두산,00117212,"29,169,746,816,091","22,350,207,440,680","172,867,636,192","1,261,859,934,440",2156.0,85.0,12290055149151.0,784166127919.0
DL,00109693,"13,445,224,177,772","6,708,517,368,302","957,830,987,829","1,130,120,991,411",3091.0,1302.0,1660433291503.0,952207650153.0
일동홀딩스,00146083,"805,625,164,013","484,530,688,271","-47,273,318,389","-23,796,280,588",77.0,5.0,292221432211.0,14342013590.0
한국앤컴퍼니,00160047,"3,607,086,237,555","212,953,070,700","196,706,021,587","170,875,981,774",61.0,0.0,846889953456.0,94827144342.0
노루홀딩스,00113508,"1,007,372,302,316","439,906,012,914","34,608,704,299","25,013,196,740",53.0,2.0,884292309439.0,57418998746.0
동아쏘시오홀딩스,00116824,"1,358,576,945,107","611,673,079,204","38,683,832,373","52,823,155,830",166.0,0.0,769685605087.0,96786624585.0
SK하이닉스,00164779,"64,789,494,000,000","16,846,299,000,000","2,442,726,000,000","2,712,718,000,000",28127.0,117.0,26990733000000.0,6549736000000.0
현대건설,00164478,"18,226,972,000,000","9,511,990,000,000","798,931,000,000","859,667,000,000",2203.0,1994.0,17278792000000.0,478916000000.0
