회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익,intangible,ratio,pre_ratio,out_exec,share_holder,정규직 수,비정규직 수,시가총액,매출액,현금흐름
기아,00106641,000270,2022,B+,"73,710,965,000,000","34,367,884,000,000","7,233,120,000,000","7,501,993,000,000",2905980.0,25.9,25.3,55.55555555555556,35.62,34260.0,1587.0,30756696780852.44,86559029000000,9333186000000.0
S-Oil,00138279,010950,2022,A,"19,613,135,000,000","11,129,666,000,000","3,405,166,000,000","2,898,542,000,000",106418.0,30.4,32.1,8.19672131147541,63.44,951.0,51.0,10618525196191.87,42446028000000,1278921000000.0
풀무원,00155355,017810,2022,A,"2,049,217,755,236","1,502,570,984,984","26,331,500,743","-18,413,093,758",97766354438.0,-10.1,,29.629629629629623,54.30,470.0,37.0,533796061086.9919,2838303860365,94837568164.0
케이티,00190321,030200,2022,A,"40,980,681,000,000","22,565,958,000,000","1,690,088,000,000","1,894,067,000,000",3129833.0,39.8,33.2,40.0,12.68,19823.0,721.0,9285390635707.316,25650011000000,3597065000000.0
SK,00181712,034730,2022,A+,"194,505,860,000,000","122,697,070,000,000","8,004,710,000,000","5,908,697,000,000",12709019.0,25.5,22.8,4.807692307692308,26.69,4422.0,164.0,16765133144896.342,134551641000000,7677749000000.0
NAVER,00266961,035420,2022,A,"33,899,042,889,136","10,448,720,408,685","1,304,664,410,543","1,083,717,091,152",1481423637125.0,18.0,0.5,57.14285714285714,8.94,4811.0,119.0,41945550495762.2,8220078708810,1453390444990.0
포스코인터내셔널,00124504,047050,2022,A,"12,516,336,931,000","8,118,209,853,000","902,507,009,000","742,146,584,000",2236253436.0,20.9,27.4,57.14285714285714,63.30,1194.0,26.0,2760644340123.984,37989588330000,1233286799000.0
SK이노베이션,00631518,096770,2022,A,"67,218,924,277,000","43,976,612,895,000","3,917,340,789,000","2,860,190,277,000",37913714177.0,31.8,67.0,7.352941176470589,33.44,426.0,72.0,18084723225666.668,78056939448000,406557024000.0
CJ대한통운,00113410,000120,2022,B+,"9,693,299,818,264","5,658,991,479,602","411,786,887,242","285,343,810,348",1197458883339.0,5.5,,57.14285714285714,40.17,970.0,144.0,2572063966068.2925,12130712862374,622939080023.0
두산,00117212,000150,2022,B+,"26,315,352,623,211","16,017,536,857,154","1,126,028,726,422","-285,903,924,711",7890852550074.0,,16.89,57.14285714285714,47.23,1017.0,35.0,1454372877250.0,16995760103010,533183466969.0
DL,00109693,000210,2022,A,"12,018,993,889,708","7,401,228,917,375","287,459,456,441","124,682,619,501",1452613279407.0,31.4,5.98,23.07692307692308,43.35,30.0,11.0,1327154874754.4714,5174950425108,227911058323.0
일동홀딩스,00146083,000230,2022,B+,"862,553,166,894","693,452,985,420","-98,410,983,144","-172,950,439,727",119407460283.0,-1.1,-1.6,7.6923076923076925,46.68,93.0,5.0,299227090975.60974,436410100859,-74588719473.0
한국앤컴퍼니,00160047,000240,2022,B,"4,301,818,675,789","445,377,543,909","245,248,895,826","247,275,364,312",13746663923.0,37.17,28.89,57.14285714285714,72.44,1040.0,57.0,1271553342585.366,1095895770449,31527519552.0
노루홀딩스,00113508,000320,2022,A,"1,171,989,377,978","511,163,923,981","29,976,023,937","41,994,647,356",43186140382.0,21.0,293.8,20.0,44.71,55.0,2.0,153512253759.30893,1037899570197,48373909585.0
