회사명,corp_code,stock_code,연도,ESG,자산총계,부채총계,영업이익,법인세차감전 순이익,intangible,ratio,pre_ratio,out_exec,share_holder,정규직 수,비정규직 수,시가총액,매출액,현금흐름,자산총계(t-1),매출액(t-1)
기아,00106641,000270,2022,B+,73710965000000.0,34367884000000.0,7233120000000.0,7501993000000.0,2905980.0,25.9,25.3,55.55555555555556,35.62,34260.0,1587.0,30756696780852.44,86559029000000.0,9333186000000.0,66849997000000.0,69862366000000.0
S-Oil,00138279,010950,2022,A,19613135000000.0,11129666000000.0,3405166000000.0,2898542000000.0,106418.0,30.4,32.1,8.19672131147541,63.44,951.0,51.0,10618525196191.87,42446028000000.0,1278921000000.0,18693235000000.0,27463918000000.0
풀무원,00155355,017810,2022,A,2049217755236.0,1502570984984.0,26331500743.0,-18413093758.0,97766354438.0,-10.1,,29.629629629629623,54.30,470.0,37.0,533796061086.9919,2838303860365.0,94837568164.0,1969372521092.0,2518896106070.0
케이티,00190321,030200,2022,A,40980681000000.0,22565958000000.0,1690088000000.0,1894067000000.0,3129833.0,39.8,33.2,40.0,12.68,19823.0,721.0,9285390635707.316,25650011000000.0,3597065000000.0,37159341000000.0,24898005000000.0
SK,00181712,034730,2022,A+,194505860000000.0,122697070000000.0,8004710000000.0,5908697000000.0,12709019.0,25.5,22.8,4.807692307692308,26.69,4422.0,164.0,16765133144896.342,134551641000000.0,7677749000000.0,165368363000000.0,97203653000000.0
NAVER,00266961,035420,2022,A,33899042889136.0,10448720408685.0,1304664410543.0,1083717091152.0,1481423637125.0,18.0,0.5,57.14285714285714,8.94,4811.0,119.0,41945550495762.2,8220078708810.0,1453390444990.0,33691006757040.0,6817599707250.0
포스코인터내셔널,00124504,047050,2022,A,12516336931000.0,8118209853000.0,902507009000.0,742146584000.0,2236253436.0,20.9,27.4,57.14285714285714,63.30,1194.0,26.0,2760644340123.984,37989588330000.0,1233286799000.0,10770734147000.0,33948864785000.0
SK이노베이션,00631518,096770,2022,A,67218924277000.0,43976612895000.0,3917340789000.0,2860190277000.0,37913714177.0,31.8,67.0,7.352941176470589,33.44,426.0,72.0,18084723225666.668,78056939448000.0,406557024000.0,49544942070000.0,46853415718000.0
CJ대한통운,00113410,000120,2022,B+,9693299818264.0,5658991479602.0,411786887242.0,285343810348.0,1197458883339.0,5.5,,57.14285714285714,40.17,970.0,144.0,2572063966068.2925,12130712862374.0,622939080023.0,8993928516384.0,11343651787492.0
두산,00117212,000150,2022,B+,26315352623211.0,16017536857154.0,1126028726422.0,-285903924711.0,7890852550074.0,,16.89,57.14285714285714,47.23,1017.0,35.0,1454372877250.0,16995760103010.0,533183466969.0,25945825422089.0,12851485792017.0
