회사명,corp_code,stock_code,연도,ESG,자산총계,자산총계(t-1),매출액,매출액(t-1),부채총계,EBITDA,EBITDA(t-1),무형자산,현금 배당 성향,현금 배당 성향(t-1),사외이사 비율,최대주주지분율,영업활동 현금흐름,정규직 수,정규직 수(t-1),비정규직 수,비정규직 수(t-1)
기아,00106641,000270,2022,B+,73710965000000.0,66849997000000.0,86559029000000.0,69862366000000.0,34367884000000.0,7501993000000.0,6393781000000.0,2905980.0,25.9,25.3,55.55555555555556,35.62,9333186000000.0,34260.0,34562.0,1587.0,939.0
S-Oil,00138279,010950,2022,A,19613135000000.0,18693235000000.0,42446028000000.0,27463918000000.0,11129666000000.0,2898542000000.0,1878020000000.0,106418.0,30.4,32.1,8.19672131147541,63.44,1278921000000.0,951.0,727.0,51.0,35.0
풀무원,00155355,017810,2022,A,2049217755236.0,1969372521092.0,2838303860365.0,2518896106070.0,1502570984984.0,-18413093758.0,13508680000.0,97766354438.0,-10.1,,29.629629629629623,54.30,94837568164.0,470.0,434.0,37.0,18.0
케이티,00190321,030200,2022,A,40980681000000.0,37159341000000.0,25650011000000.0,24898005000000.0,22565958000000.0,1894067000000.0,1978411000000.0,3129833.0,39.8,33.2,40.0,12.68,3597065000000.0,19823.0,21087.0,721.0,672.0
SK,00181712,034730,2022,A+,194505860000000.0,165368363000000.0,134551641000000.0,97203653000000.0,122697070000000.0,5908697000000.0,5982328000000.0,12709019.0,25.5,22.8,4.807692307692308,26.69,7677749000000.0,4422.0,959.0,164.0,167.0
NAVER,00266961,035420,2022,A,33899042889136.0,33691006757040.0,8220078708810.0,6817599707250.0,10448720408685.0,1083717091152.0,2126399871701.0,1481423637125.0,18.0,0.5,57.14285714285714,8.94,1453390444990.0,4811.0,4526.0,119.0,152.0
포스코인터내셔널,00124504,047050,2022,A,12516336931000.0,10770734147000.0,37989588330000.0,33948864785000.0,8118209853000.0,742146584000.0,488700366000.0,2236253436.0,20.9,27.4,57.14285714285714,63.30,1233286799000.0,1194.0,1228.0,26.0,36.0
SK이노베이션,00631518,096770,2022,A,67218924277000.0,49544942070000.0,78056939448000.0,46853415718000.0,43976612895000.0,2860190277000.0,818466254000.0,37913714177.0,31.8,67.0,7.352941176470589,33.44,406557024000.0,426.0,1285.0,72.0,68.0
CJ대한통운,00113410,000120,2022,B+,9693299818264.0,8993928516384.0,12130712862374.0,11343651787492.0,5658991479602.0,285343810348.0,239190286694.0,1197458883339.0,5.5,,57.14285714285714,40.17,622939080023.0,970.0,863.0,144.0,152.0
두산,00117212,000150,2022,B+,26315352623211.0,25945825422089.0,16995760103010.0,12851485792017.0,16017536857154.0,-285903924711.0,592868442297.0,7890852550074.0,,16.89,57.14285714285714,47.23,533183466969.0,1017.0,957.0,35.0,23.0
DL,00109693,000210,2022,A,12018993889708.0,8180715293855.0,5174950425108.0,2358774796779.0,7401228917375.0,124682619501.0,717852472556.0,1452613279407.0,31.4,5.98,23.07692307692308,43.35,227911058323.0,30.0,29.0,11.0,10.0
일동홀딩스,00146083,000230,2022,B+,862553166894.0,920762518312.0,436410100859.0,371540235079.0,693452985420.0,-172950439727.0,-176529334040.0,119407460283.0,-1.1,-1.6,7.6923076923076925,46.68,-74588719473.0,93.0,99.0,5.0,6.0
한국앤컴퍼니,00160047,000240,2022,B,4301818675789.0,4081229754648.0,1095895770449.0,963300354498.0,445377543909.0,247275364312.0,227739759554.0,13746663923.0,37.17,28.89,57.14285714285714,72.44,31527519552.0,1040.0,1009.0,57.0,39.0
노루홀딩스,00113508,000320,2022,A,1171989377978.0,1055537182156.0,1037899570197.0,955214023609.0,511163923981.0,41994647356.0,26768754927.0,43186140382.0,21.0,293.8,20.0,44.71,48373909585.0,55.0,55.0,2.0,1.0
동아쏘시오홀딩스,00116824,000640,2022,A,1731452067203.0,1691388335986.0,1014860897959.0,881944084032.0,732791277454.0,17608580037.0,66104527975.0,121487120857.0,84.07,15.56,30.76923076923077,30.29,75874278319.0,89.0,90.0,1.0,0.0
SK하이닉스,00164779,000660,2022,B+,103871512000000.0,96346525000000.0,44621568000000.0,42997792000000.0,40580970000000.0,4002780000000.0,13415987000000.0,3512107.0,37.0,11.0,66.66666666666666,20.07,14780517000000.0,31856.0,30056.0,88.0,79.0
현대건설,00164478,000720,2022,A,20911708000000.0,19637264000000.0,21239082000000.0,18065534000000.0,10987431000000.0,753815000000.0,854101000000.0,720626.0,16.5,16.6,4.545454545454546,34.92,-143474000000.0,1991.0,2036.0,2456.0,2117.0
한화,00160588,000880,2022,A,211175324000000.0,203463699000000.0,62278395000000.0,52836069000000.0,190296497000000.0,2276045000000.0,3216454000000.0,4101230.0,5.62,7.18,4.545454545454546,43.62,1873139000000.0,2042.0,1830.0,1166.0,148.0
DB하이텍,00160843,000990,2022,B,2122700474808.0,1549937895854.0,1675287533666.0,1214682040178.0,484416396415.0,747138338305.0,420439748913.0,18370913452.0,10.11,6.17,8.88888888888889,0.03,730063433619.0,985.0,969.0,37.0,25.0
