회사명,corp_code,stock_code,연도,ESG,자산총계,자산별 현금흐름,부채 비율,무형자산 비중,매출액 성장률,현금 배당성향 상승률,EBITDA 성장률,임직원 성장률,최대주주 지분율,사외이사비율,비정규직(o2)
기아,00106641,000270,2022,B+,73710965000000.0,0.1266186923478752,0.4662519884253313,3.942398529174052e-08,0.1928933722211694,0.023166023166023,0.1477223452487892,0.0096521326749797,35.62,0.5555555555555556,0.0442714871537367
S-Oil,00138279,010950,2022,A,19613135000000.0,0.0652073725082706,0.56745981710726,5.425853643489426e-09,0.3529684803487384,-0.055921052631579,0.3520811497642608,0.2395209580838323,63.44,0.081967213114754,0.0508982035928143
풀무원,00155355,017810,2022,A,2049217755236.0,0.0462798879824647,0.7332412483469601,0.04770910958008,0.1125347284888394,4.023285172308953,1.7336453166177377,0.1084812623274161,54.3,0.2962962962962962,0.0729783037475345
케이티,00190321,030200,2022,A,40980681000000.0,0.087774651670625,0.5506486824852911,7.63733770065949e-08,0.0293179601365473,0.165829145728643,-0.0445306317041583,-0.0591413551401869,12.68,0.4,0.0350954049844236
SK,00181712,034730,2022,A+,194505860000000.0,0.0394730986511151,0.6308142592721885,6.534003140059638e-08,0.27757363434906,0.1058823529411764,-0.0124614614694238,0.754470126471871,26.69,0.048076923076923,0.0357610117749672
NAVER,00266961,035420,2022,A,33899042889136.0,0.0428740849629056,0.3082305433476889,0.0437010461318885,0.170616249702922,0.9722222222222222,-0.9621355878411216,0.0511156186612576,8.94,0.5714285714285714,0.0241379310344827
포스코인터내셔널,00124504,047050,2022,A,12516336931000.0,0.098534164252597,0.6486090856896891,0.0001786667655503,0.1063639729364764,-0.3110047846889952,0.34150425733146,-0.0360655737704918,63.3,0.5714285714285714,0.021311475409836
SK이노베이션,00631518,096770,2022,A,67218924277000.0,0.0060482524582606,0.6542296439285221,0.0005640333371114,0.3997533589026658,-1.106918238993711,0.7138420263219432,-1.716867469879518,33.44,0.0735294117647058,0.144578313253012
CJ대한통운,00113410,000120,2022,B+,9693299818264.0,0.0642649140852184,0.5838044407683951,0.1235346998225271,0.0648816836909262,-4.551850952785532,0.1617470643491864,0.0888689407540394,40.17,0.5714285714285714,0.1292639138240574
두산,00117212,000150,2022,B+,26315352623211.0,0.020261308088979,0.6086765047953798,0.2998573746305801,0.2438416573236425,0.4409122430687913,3.073663182120668,0.0684410646387832,47.23,0.5714285714285714,0.0332699619771863
DL,00109693,000210,2022,A,12018993889708.0,0.018962573774013,0.615794382233005,0.1208598067972136,0.5441937404202721,0.8095541401273885,-4.757438169240922,0.048780487804878,43.35,0.2307692307692308,0.2682926829268293
일동홀딩스,00146083,000230,2022,B+,862553166894.0,-0.0864743442327031,0.8039539034064194,0.1384348987007708,0.1486442812673551,-0.4545454545454545,-0.0206931784541816,-0.0714285714285714,46.68,0.0769230769230769,0.0510204081632653
한국앤컴퍼니,00160047,000240,2022,B,4301818675789.0,0.0073288815564076,0.1035323842019707,0.00319554703697,0.1209927253361642,0.2227602905569007,0.0790034414158255,0.0446672743846855,72.44,0.5714285714285714,0.0519598906107566
노루홀딩스,00113508,000320,2022,A,1171989377978.0,0.041275040963646,0.4361506457190735,0.0368485766112554,0.0796662306857933,-12.99047619047619,0.3625674553217696,0.0175438596491228,44.71,0.2,0.0350877192982456
동아쏘시오홀딩스,00116824,000640,2022,A,1731452067203.0,0.0438211832462494,0.4232235424442077,0.0701648767287281,0.1309704750614697,0.8149161413108124,-2.754108953481653,0.0,30.29,0.3076923076923077,0.0111111111111111
SK하이닉스,00164779,000660,2022,B+,103871512000000.0,0.1422961571985204,0.3906843100541369,3.3812033081794364e-08,0.0363899359161919,0.7027027027027027,-2.351667341197868,0.0566303531179564,20.07,0.6666666666666665,0.0027548209366391
현대건설,00164478,000720,2022,A,20911708000000.0,-0.006860941248797,0.5254200661179852,3.446040849460981e-08,0.1494202056378896,-0.0060606060606061,-0.1330379469763801,0.0661119856082752,34.92,0.0454545454545454,0.5522824375983809
한화,00160588,000880,2022,A,211175324000000.0,0.008870065709003,0.901130365970221,1.9420971741944623e-08,0.151614793541163,-0.2775800711743771,-0.4131768045007897,0.3834164588528678,43.62,0.0454545454545454,0.3634663341645885
DB하이텍,00160843,000990,2022,B,2122700474808.0,0.3439314412387997,0.2282076073209602,0.0086545010330115,0.2749411574024345,0.3897131552917903,0.4372665310324816,0.0273972602739726,12.42,0.0888888888888888,0.0362035225048923
CJ,00148540,001040,2022,B+,48240408307000.0,0.0838505746936857,0.6323904769805455,0.0001727666420433,0.1573823369726628,0.3228915662650602,-0.2315862945990107,0.1194029850746268,47.07,0.6666666666666665,0.1194029850746268
