corp_code,법인세차감전 순이익,year
106641,"7,501,993,000,000",2022
138279,"2,898,542,000,000",2022
155355,"-18,413,093,758",2022
190321,"1,894,067,000,000",2022
181712,"5,908,697,000,000",2022
266961,"1,083,717,091,152",2022
124504,"742,146,584,000",2022
631518,"2,860,190,277,000",2022
113410,"285,343,810,348",2022
117212,"-285,903,924,711",2022
109693,"124,682,619,501",2022
146083,"-172,950,439,727",2022
160047,"247,275,364,312",2022
113508,"41,994,647,356",2022
116824,"17,608,580,037",2022
164779,"4,002,780,000,000",2022
164478,"753,815,000,000",2022
160588,"2,276,045,000,000",2022
160843,"747,138,338,305",2022
148540,"1,056,239,012,000",2022
120076,"1,133,187,692,778",2022
113207,"31,378,453,000",2022
121941,"110,932,873,119",2022
131780,"81,486,000,000",2022
117577,"421,165,629,185",2022
163512,"38,290,826,956",2022
161046,"7,316,158,114",2022
154462,"288,378,389,515",2022
117230,"122,780,246,484",2022
126955,"101,955,896,513",2022
138224,"171,177,682,136",2022
113526,"2,562,134,998,034",2022
120021,"2,045,618,000,000",2022
157681,"160,079,935,956",2022
145880,"1,348,558,027,452",2022
171636,"57,651,446,000",2022
136378,"521,874,825,260",2022
125743,"33,048,654,435",2022
157399,"36,348,453,753",2022
117188,"20,858,603,953",2022
120562,"499,860,555,981",2022
124726,"36,724,028,656",2022
120571,"169,386,857,154",2022
164742,"10,947,943,000,000",2022
131832,"539,051,827,627",2022
105952,"657,920,000,000",2022
120030,"664,897,622,799",2022
126362,"2,652,275,388,730",2022
140177,"75,063,718,353",2022
141529,"283,520,143,943",2022
109189,"187,799,491,185",2022
165680,"-59,647,312,581",2022
161426,"73,179,718,929",2022
126371,"1,186,828,087,730",2022
136086,"41,592,516,874",2022
161693,"-83,461,021,812",2022
119007,"54,964,533,741",2022
162461,"569,238,863,544",2022
140964,"1,083,402,103,654",2022
148896,"1,001,629,603,000",2022
105855,"126,966,694,511",2022
103626,"2,870,110,705",2022
164609,"-63,247,650,000",2022
105961,"1,135,062,357,037",2022
165413,"-392,619,240,018",2022
164645,"10,183,729,000,000",2022
106623,"86,063,000,000",2022
164812,"90,537,641,434",2022
139889,"159,297,081,484",2022
164788,"3,362,612,000,000",2022
126566,"174,616,406,341",2022
158501,"200,760,270,160",2022
140955,"194,237,859,330",2022
159023,"1,236,152,000,000",2022
164724,"110,105,864,213",2022
139454,"22,750,105,839",2022
126186,"1,132,080,207,483",2022
144164,"355,031,851,860",2022
188089,"161,773,696,909",2022
170558,"683,308,004,068",2022
120526,"-567,342,307,033",2022
203582,"-6,157,071,692",2022
219097,"38,895,385,596",2022
126308,"715,715,164,329",2022
149655,"3,334,546,525,257",2022
234412,"136,726,798,870",2022
274933,"-4,859,422,816",2022
231363,"856,812,000,000",2022
244455,"1,429,519,571,832",2022
255619,"167,851,826,370",2022
258801,"1,304,363,372,795",2022
261443,"609,050,943,296",2022
260408,"-37,585,486,981",2022
220561,"76,860,199,739",2022
160232,"46,647,231,356",2022
124540,"713,497,588,646",2022
309503,"122,121,929,956",2022
356370,"417,769,360,752",2022
349097,"33,430,748,587",2022
413523,"32,693,557,928",2022
412597,"96,757,694,526",2022
372882,"23,777,866,394",2022
372873,"19,862,606,504",2022
302926,"103,880,637,000",2022
401731,"2,539,811,000,000",2022
201450,"30,400,993,706",2022
428251,"246,711,565,000",2022
159698,"-257,878,151,428",2022
158307,"-557,697,012,049",2022
500254,"4,621,024,000,000",2022
303873,"-237,643,036,305",2022
300548,"-65,968,450,334",2022
503668,"157,771,953,695",2022
362238,"-102,207,246,216",2022
195229,"453,137,117,071",2022
361008,"-38,668,626,357",2022
539274,"118,845,988,072",2022
360595,"1,597,421,189,524",2022
583442,"17,779,741,850",2022
583424,"224,493,769,169",2022
635134,"1,245,523,117,000",2022
759513,"-105,943,000,000",2022
795135,"169,697,570,795",2022
828497,"121,012,526,736",2022
872984,"1,252,483,876,283",2022
896285,"97,281,000,000",2022
956930,"17,516,003,132",2022
983040,"438,303,692,552",2022
992871,"97,165,066,944",2022
1009789,"6,169,680,858",2022
1032413,"205,309,781,207",2022
1036446,"116,258,303,926",2022
877059,"1,009,024,573,715",2022
508344,"113,722,926,342",2022
1060744,"95,828,130,869",2022
565154,"142,921,691,148",2022
1168383,"-119,823,395,577",2022
1208885,"31,034,292,001",2022
1238169,"486,728,116,441",2022
339391,"-57,019,441,190",2022
1263022,"254,068,774,008",2022
1267170,"236,700,717,561",2022
1262032,"36,254,944,453",2022
1316236,"-448,250,891,421",2022
1316227,"30,658,603,776",2022
1316245,"59,841,661,132",2022
1316254,"213,162,004,331",2022
362441,"154,786,545,251",2022
148364,"616,005,224,415",2022
265324,"-327,580,418,493",2022
260958,"9,894,682,747",2022
228536,"15,686,285,793",2022
127954,"68,875,818,033",2022
347062,"6,844,226,328",2022
871833,"19,237,033,364",2022
126937,"126,664,000,000",2022
150244,"121,380,678,145",2022
145109,"94,926,373,488",2022
148993,"110,076,574,030",2022
129387,"10,671,560,929",2022
109286,"57,555,933,360",2022
104768,"13,296,874,869",2022
163691,"43,546,308,479",2022
114792,"547,679,373,077",2022
138190,"61,122,260,907",2022
149354,"-24,708,272,309",2022
128971,"84,339,671,528",2022
138701,"210,386,129,580",2022
114552,"2,914,383,294",2022
103006,"112,085,847,739",2022
173874,"-40,312,984,401",2022
105271,"111,953,952,629",2022
132211,"-17,208,554,984",2022
124197,"531,476,493,894",2022
146269,"161,202,685,885",2022
153393,"-45,552,759,314",2022
162993,"127,641,079,488",2022
141149,"-22,812,771,530",2022
113544,"23,763,677,403",2022
107598,"-97,220,020,759",2022
109718,"85,136,003,481",2022
157991,"13,889,493,769",2022
108241,"158,840,599,107",2022
127802,"19,693,674,216",2022
130879,"841,772,580",2022
128555,"93,637,749,746",2022
118266,"9,110,890,625",2022
132804,"-26,120,978,097",2022
125150,"198,427,676,801",2022
108135,"29,629,471,910",2022
125530,"70,782,876,250",2022
167192,"-3,114,497,630",2022
125521,"215,698,969,074",2022
126380,"46,440,474,000,000",2022
166227,"20,390,231,128",2022
129679,"85,727,859,933",2022
164672,"44,443,694,696",2022
125080,"-120,183,179,682",2022
124799,"76,973,016,074",2022
107613,"107,829,664,836",2022
126487,"580,405,942,635",2022
163114,"157,391,284,290",2022
140946,"30,450,141,909",2022
153861,"76,027,336,617",2022
101488,"72,724,310,765",2022
126478,"-554,711,265,360",2022
166315,"95,109,032,046",2022
115977,"285,969,297,618",2022
106368,"1,251,576,092,191",2022
102618,"-29,426,360,818",2022
143527,"16,108,052,906",2022
164636,"133,502,475,796",2022
166272,"31,765,330,189",2022
159786,"141,266,703,137",2022
105101,"-6,857,913,000",2022
159193,"-33,843,619,000,000",2022
130684,"22,506,025,659",2022
165583,"193,801,839,282",2022
159795,"28,900,101,934",2022
161125,"97,168,085,854",2022
133991,"23,259,060,558",2022
108913,"-107,697,076,412",2022
176914,"744,926,029,245",2022
203290,"36,396,108,049",2022
122737,"687,967,000,000",2022
148276,"300,435,028,812",2022
105873,"-3,433,370,000,000",2022
217947,"-17,714,387,020",2022
158316,"107,785,938,003",2022
219486,"107,260,459,434",2022
261285,"1,945,247,668,119",2022
225159,"166,935,921,690",2022
222532,"-13,650,566,674",2022
219574,"-7,980,653,661",2022
340917,"118,562,121,878",2022
356361,"2,812,551,000,000",2022
159209,"25,735,584,512",2022
256955,"23,699,004,663",2022
377610,"207,816,045,297",2022
390055,"-18,589,860,783",2022
413046,"626,173,376,626",2022
459871,"48,517,368,798",2022
481454,"-84,043,708,970",2022
480455,"-28,410,000,000",2022
400857,"6,338,112,513",2022
357935,"19,184,280,925",2022
555874,"-217,242,937,743",2022
595191,"133,421,841,827",2022
414850,"19,589,651,370",2022
628189,"7,316,423,153",2022
679314,"55,772,698,025",2022
684714,"219,757,501,334",2022
776820,"881,755,852,631",2022
557508,"-25,055,610,545",2022
194947,"21,105,704,248",2022
855093,"41,638,288,840",2022
241005,"45,082,747,593",2022
937324,"858,353,826,334",2022
939331,"16,973,794,860",2022
939687,"7,810,959,621",2022
983271,"1,521,608,996",2022
990165,"82,912,383,689",2022
101664,"-614,836,349",2022
911955,"10,436,282,612",2022
1108099,"34,875,099,786",2022
1032486,"886,277,487,000",2022
1128613,"6,493,936,191",2022
904672,"-941,473,679,190",2022
653024,"-90,190,923,390",2022
