corp_code,부채총계,year
106641,"34,367,884,000,000",2022
138279,"11,129,666,000,000",2022
155355,"1,502,570,984,984",2022
190321,"22,565,958,000,000",2022
181712,"122,697,070,000,000",2022
266961,"10,448,720,408,685",2022
124504,"8,118,209,853,000",2022
631518,"43,976,612,895,000",2022
113410,"5,658,991,479,602",2022
117212,"16,017,536,857,154",2022
109693,"7,401,228,917,375",2022
146083,"693,452,985,420",2022
160047,"445,377,543,909",2022
113508,"511,163,923,981",2022
116824,"732,791,277,454",2022
164779,"40,580,970,000,000",2022
164478,"10,987,431,000,000",2022
160588,"190,296,497,000,000",2022
160843,"484,416,396,415",2022
148540,"30,506,774,819,000",2022
120076,"4,682,532,060,717",2022
113207,"738,060,568,000",2022
121941,"1,867,569,946,984",2022
131780,"7,048,547,000,000",2022
117577,"977,214,307,936",2022
163512,"2,558,814,752,905",2022
161046,"489,250,127,554",2022
154462,"1,117,500,460,491",2022
117230,"447,666,197,323",2022
126955,"470,165,749,462",2022
138224,"2,281,205,119,386",2022
113526,"19,705,240,815,659",2022
120021,"3,399,491,000,000",2022
157681,"415,627,340,272",2022
145880,"17,672,412,852,352",2022
171636,"125,962,865,000",2022
136378,"8,096,632,950,057",2022
125743,"333,016,274,702",2022
157399,"631,895,650,677",2022
117188,"2,369,980,096,744",2022
120562,"12,409,157,931,313",2022
124726,"193,497,612,928",2022
120571,"2,283,769,460,026",2022
164742,"164,845,917,000,000",2022
131832,"5,826,776,624,464",2022
105952,"11,259,315,000,000",2022
120030,"11,590,413,888,307",2022
126362,"13,040,023,014,999",2022
140177,"5,412,417,744,683",2022
141529,"1,622,240,967,893",2022
109189,"419,083,389,342",2022
165680,"2,398,761,037,870",2022
161426,"384,942,964,397",2022
126371,"3,303,686,219,356",2022
136086,"1,739,726,817,209",2022
161693,"654,251,595,301",2022
119007,"941,368,622,014",2022
162461,"13,934,785,853,643",2022
140964,"1,503,556,312,790",2022
148896,"2,734,136,888,000",2022
105855,"1,773,513,972,232",2022
103626,"83,843,135,370",2022
164609,"2,572,981,743,000",2022
