corp_code,직원 수,연도
00106641,1587,2022
00138279,51,2022
00155355,37,2022
00190321,721,2022
00181712,164,2022
00266961,119,2022
00124504,26,2022
00631518,72,2022
00113410,144,2022
00117212,35,2022
00109693,11,2022
00146083,5,2022
00160047,57.0,2022
00113508,2.0,2022
00116824,1.0,2022
00164779,88,2022
00164478,2456,2022
00160588,1166,2022
00160843,37,2022
00148540,8,2022
00120076,10,2022
00113207,18.0,2022
00121941,807,2022
00131780,326,2022
00117577,0.0,2022
00163512,31.0,2022
00161046,38,2022
00154462,1.0,2022
00117230,231,2022
00126955,359,2022
00138224,87.0,2022
00113526,338.0,2022
00120021,8.0,2022
00157681,9,2022
00145880,385,2022
00171636,2,2022
00136378,5,2022
00125743,26,2022
00157399,32,2022
00117188,100.0,2022
00120562,13,2022
00124726,211,2022
00120571,661,2022
00164742,7849,2022
00131832,16,2022
00105952,2.0,2022
00120030,561.0,2022
00126362,935,2022
00140177,1230.0,2022
00141529,49,2022
00109189,0.0,2022
00165680,431,2022
00161426,9,2022
00126371,830.0,2022
00136086,0.0,2022
00161693,41.0,2022
00119007,3.0,2022
00162461,194,2022
00140964,8,2022
00148896,90.0,2022
00105855,139,2022
00103626,1.0,2022
00164609,66,2022
00105961,4751,2022
00165413,154,2022
00164645,108,2022
00106623,84.0,2022
00164812,11.0,2022
00139889,9,2022
00164788,531,2022
00126566,161,2022
00158501,590,2022
00140955,94,2022
00159023,270,2022
00164724,127,2022
00139454,56,2022
00126186,72.0,2022
00144164,52,2022
00188089,94,2022
00170558,137,2022
00120526,55.0,2022
00203582,5,2022
00219097,6.0,2022
00126308,1543,2022
00149655,499.0,2022
00234412,119,2022
00274933,127,2022
00231363,170,2022
00244455,312,2022
00255619,953,2022
00258801,220,2022
00261443,400,2022
00260408,2.0,2022
00220561,0.0,2022
00160232,5.0,2022
00124540,2167,2022
00309503,869,2022
00356370,43.0,2022
00349097,0.0,2022
00413523,471,2022
00412597,26.0,2022
00372882,1060.0,2022
00372873,891,2022
00302926,310,2022
00401731,1360,2022
00201450,80,2022
00428251,0.0,2022
00159698,2,2022
00158307,60,2022
00500254,10,2022
00303873,865,2022
00300548,37,2022
00503668,114.0,2022
00362238,50,2022
00195229,6.0,2022
00361008,11,2022
00539274,2,2022
00360595,240.0,2022
00583442,16,2022
00583424,279,2022
00635134,75,2022
00759513,78.0,2022
00795135,221,2022
00828497,92,2022
00872984,0.0,2022
00896285,82,2022
00956930,10,2022
00983040,1,2022
00992871,35,2022
01009789,17,2022
01032413,329,2022
01036446,3.0,2022
00877059,824,2022
00508344,14,2022
01060744,64,2022
00565154,40,2022
01168383,31,2022
01208885,33,2022
01238169,16.0,2022
00339391,280,2022
01263022,511,2022
01267170,176,2022
01262032,116,2022
01316236,168,2022
01316227,146.0,2022
01316245,568.0,2022
01316254,106,2022
00362441,45.0,2022
00148364,0.0,2022
00265324,26.0,2022
00260958,87,2022
00228536,34,2022
00127954,310.0,2022
00347062,6,2022
00871833,88.0,2022
00126937,38,2022
00150244,137,2022
00145109,43,2022
00148993,0.0,2022
00129387,46,2022
00109286,412,2022
00104768,22,2022
00163691,0.0,2022
00114792,39.0,2022
00138190,9,2022
00149354,2,2022
00128971,909,2022
00138701,0.0,2022
00114552,550.0,2022
00103006,56,2022
00173874,88.0,2022
00105271,178,2022
00132211,20,2022
00124197,2.0,2022
00146269,51,2022
00153393,106.0,2022
00162993,1,2022
00141149,18,2022
00113544,9,2022
00107598,125,2022
00109718,48,2022
00157991,0.0,2022
00108241,123,2022
00127802,5.0,2022
00130879,20.0,2022
00128555,12.0,2022
00118266,7,2022
00132804,8,2022
00125150,6.0,2022
00108135,3,2022
00125530,110,2022
00167192,91,2022
00125521,791,2022
00126380,1154,2022
00166227,0.0,2022
00129679,197,2022
00164672,0.0,2022
00125080,1.0,2022
00124799,248.0,2022
00107613,85,2022
00126487,0.0,2022
00163114,0.0,2022
00140946,31,2022
00153861,668.0,2022
00101488,178,2022
00126478,203,2022
00166315,92,2022
00115977,92.0,2022
00106368,68,2022
00102618,1.0,2022
00143527,1.0,2022
00164636,1.0,2022
00166272,0.0,2022
00159786,12.0,2022
00105101,7.0,2022
00159193,138,2022
00130684,13,2022
00165583,13,2022
00159795,7,2022
00161125,176,2022
00133991,18.0,2022
00108913,151,2022
00176914,15.0,2022
00203290,0.0,2022
00122737,312,2022
00148276,30,2022
00105873,274,2022
00217947,181,2022
00158316,2,2022
00219486,12,2022
00261285,0.0,2022
00225159,0.0,2022
00222532,15,2022
00219574,0.0,2022
00340917,127,2022
00356361,324,2022
00159209,101,2022
00256955,4.0,2022
00377610,6,2022
00390055,0.0,2022
00413046,136,2022
00459871,0.0,2022
00481454,52,2022
00480455,39,2022
00400857,4.0,2022
00357935,5.0,2022
00555874,179,2022
00595191,7,2022
00414850,655,2022
00628189,490,2022
00679314,39,2022
00684714,638,2022
00776820,41,2022
00557508,3.0,2022
00194947,581,2022
00855093,7,2022
00241005,7,2022
00937324,409,2022
00939331,0.0,2022
00939687,24.0,2022
00983271,17,2022
00990165,6.0,2022
00101664,7,2022
00911955,2,2022
01108099,5.0,2022
01032486,7,2022
01128613,0.0,2022
00904672,34,2022
00653024,114,2022
01060814,6,2022
01319808,13,2022
01325979,37,2022
00118804,28,2022
00158325,283,2022
00252135,6,2022
00223762,18,2022
00130763,18,2022
00298270,12,2022
00358271,63,2022
00398701,0.0,2022
00579980,3.0,2022
00536541,4,2022
00486097,6,2022
00447609,226,2022
00554024,3.0,2022
00579999,19,2022
00525934,44,2022
00857727,0.0,2022
00549891,14,2022
01135941,36,2022
01234507,83,2022
00119195,19,2022
00144818,15,2022
00111847,12.0,2022
00148984,70,2022
00128032,13,2022
00149026,0.0,2022
00151395,11.0,2022
00166519,19.0,2022
00100939,59,2022
00144252,0.0,2022
00134723,0.0,2022
00149947,63,2022
00113243,0.0,2022
00106395,2.0,2022
00122472,6,2022
00122579,30,2022
00113234,22.0,2022
00159740,0.0,2022
00152862,0.0,2022
00101433,18,2022
00127042,0.0,2022
00158112,0.0,2022
00138729,7,2022
00136457,1.0,2022
00174527,93,2022
00148443,0.0,2022
00117300,0.0,2022
00104722,8,2022
00127167,0.0,2022
00158149,4,2022
00165343,4,2022
00152880,947,2022
00132725,8,2022
00111810,5,2022
00118275,2.0,2022
00111999,45,2022
00163673,1.0,2022
00164706,20,2022
00133812,115,2022
00109806,14.0,2022
00129235,14.0,2022
00133858,218,2022
00113492,14.0,2022
00172936,19,2022
00148920,20,2022
00129989,17.0,2022
00163716,6,2022
00168331,0.0,2022
00121288,10.0,2022
00160302,2,2022
00156691,127.0,2022
00128412,24,2022
00127200,14,2022
00145163,1.0,2022
00153126,28,2022
00155531,48,2022
00143794,0.0,2022
00111421,20,2022
00113535,12,2022
00145552,31,2022
00118026,38.0,2022
00126779,33,2022
00159254,0.0,2022
00108977,7.0,2022
00159810,3,2022
00260383,19,2022
00141404,5,2022
00122898,14.0,2022
00124090,20,2022
00130091,0.0,2022
00104388,3.0,2022
00152686,59,2022
00154329,14,2022
00137252,9.0,2022
00131692,0.0,2022
00145260,18.0,2022
00103042,41,2022
00138260,20.0,2022
00136864,69,2022
00103592,50,2022
00153621,2.0,2022
00162586,13,2022
00159971,0.0,2022
00151128,0.0,2022
00160205,0.0,2022
00102858,184,2022
00141273,0.0,2022
00155124,0.0,2022
00139764,0.0,2022
00129013,32,2022
00137207,0.0,2022
00138297,3.0,2022
00136271,8,2022
00163345,39,2022
00141477,41.0,2022
00172291,44,2022
00173102,8,2022
00146232,111,2022
00117179,1.0,2022
00140779,0.0,2022
00105156,2.0,2022
00124780,0.0,2022
00132637,25.0,2022
00112679,3.0,2022
00153339,0.0,2022
00113614,15,2022
00161976,0.0,2022
00166573,58,2022
00108940,0.0,2022
00119672,22,2022
00161709,3.0,2022
00143651,17,2022
00121039,13.0,2022
00142883,13,2022
00152729,36,2022
00149239,42,2022
00137359,12.0,2022
00118965,40,2022
00140131,42.0,2022
00198697,1.0,2022
00131197,0.0,2022
00121534,1.0,2022
00159500,531,2022
00112022,0.0,2022
00181943,0.0,2022
00145464,53.0,2022
00107987,23.0,2022
00133706,0.0,2022
00209780,7,2022
00231372,14,2022
00158963,0.0,2022
00134510,7,2022
00121543,161,2022
00130772,95,2022
00129642,29,2022
00369833,1.0,2022
00303217,0.0,2022
00159218,155,2022
00353878,8.0,2022
00398792,43,2022
00428729,0.0,2022
00435312,9,2022
00210856,39,2022
00406046,15,2022
00414601,0.0,2022
00454946,3.0,2022
00113225,5,2022
00540641,10,2022
00409672,14,2022
00573579,58.0,2022
00671376,267,2022
00589127,2.0,2022
00587466,0.0,2022
00117726,58,2022
00593032,168,2022
00365387,14,2022
00632304,7,2022
00520887,77,2022
00648721,1.0,2022
00428321,28,2022
00145598,17,2022
00687711,0.0,2022
00728638,16,2022
00173944,2,2022
00753643,0.0,2022
00670340,1.0,2022
00787376,10.0,2022
00360142,24,2022
00823429,0.0,2022
00815369,0.0,2022
00151368,6.0,2022
00661847,11,2022
00119140,5,2022
00526599,21,2022
00110608,0.0,2022
01010110,4.0,2022
00132354,3,2022
01059605,64,2022
01093007,1.0,2022
00225706,11,2022
01167056,105,2022
01205329,134,2022
01261893,34,2022
01267684,233,2022
00248974,61.0,2022
01310269,766,2022
00367844,1503,2022
01412822,11.0,2022
00128111,52,2022
00141671,24,2022
00216647,19,2022
00238782,9.0,2022
00226352,0.0,2022
00171265,43,2022
00258689,2.0,2022
00247975,10,2022
00239639,53.0,2022
00260930,20,2022
00187415,2.0,2022
00280688,9,2022
00369170,43,2022
00306454,4.0,2022
00353610,21,2022
00228350,0.0,2022
00225742,3.0,2022
00364467,20,2022
00378628,4,2022
00245472,4.0,2022
00399694,42,2022
00405320,2.0,2022
00104573,15.0,2022
00476498,130,2022
00177816,1.0,2022
00531014,0.0,2022
00359395,7,2022
00490151,0.0,2022
00524421,0.0,2022
00525642,18.0,2022
00444329,24,2022
00613318,21,2022
00612294,1.0,2022
00888347,18,2022
00366137,1.0,2022
01032404,6.0,2022
01061327,11,2022
00970453,16,2022
01067516,13,2022
00819073,30.0,2022
01159853,28,2022
01160363,50.0,2022
01168684,13,2022
01152470,87,2022
01237540,139,2022
01236532,4.0,2022
00897752,0.0,2022
01256864,0.0,2022
00112378,0.0,2022
00101628,44,2022
00133335,2,2022
00126089,25.0,2022
00141307,15.0,2022
00104698,12,2022
00145686,13,2022
00123541,21,2022
00147222,0.0,2022
00159573,0.0,2022
00112970,27,2022
00120872,0.0,2022
00107066,350,2022
00126414,0.0,2022
00152039,2.0,2022
00101220,12,2022
00154055,0.0,2022
00125974,21,2022
00117337,88,2022
00118345,21,2022
00148948,2,2022
00148461,2.0,2022
00106119,0.0,2022
00114765,16.0,2022
00117027,5.0,2022
00129350,7,2022
00102751,3.0,2022
00116268,30,2022
00163196,13.0,2022
00122694,29,2022
00133618,0.0,2022
00127857,2.0,2022
00149345,9,2022
00141626,0.0,2022
00118451,0.0,2022
00173698,11,2022
00123107,2.0,2022
00150828,179,2022
00121932,0.0,2022
00149804,9.0,2022
00174004,15,2022
00106313,364,2022
00123718,53,2022
00146214,1.0,2022
00160621,0.0,2022
00154426,19,2022
00122348,0.0,2022
00122056,0.0,2022
00161860,335.0,2022
00133511,3.0,2022
00115287,37.0,2022
00108038,19,2022
00172185,0.0,2022
00134963,5,2022
00148939,0.0,2022
00135050,6,2022
00138057,0.0,2022
00114093,15.0,2022
00109514,2.0,2022
00127158,0.0,2022
00162063,276,2022
00135962,379.0,2022
00156488,25,2022
00124151,18,2022
00136341,149.0,2022
00109754,4.0,2022
00136624,3.0,2022
00115612,365,2022
00141875,136,2022
00260392,0.0,2022
00122825,0.0,2022
00109824,21.0,2022
00126201,25,2022
00136402,0.0,2022
00109161,19.0,2022
00146296,20,2022
00104786,4.0,2022
00146454,7.0,2022
00115384,12,2022
00131939,0.0,2022
00157104,5,2022
00145446,5,2022
00107224,0.0,2022
00121570,1.0,2022
00146542,0.0,2022
00104999,11.0,2022
00138516,137,2022
00168401,0.0,2022
00117629,7.0,2022
00102140,0.0,2022
00111111,0.0,2022
00111689,0.0,2022
00163761,0.0,2022
00129271,0.0,2022
00128227,24,2022
00143262,0.0,2022
00160375,0.0,2022
00166500,15,2022
00148522,8,2022
00128980,0.0,2022
00118521,0.0,2022
00129280,0.0,2022
00153524,0.0,2022
00124027,5.0,2022
00129554,9,2022
00160861,0.0,2022
00162072,22,2022
00145437,0.0,2022
00141413,0.0,2022
00102113,21,2022
00112651,16,2022
00102432,622,2022
00129420,28.0,2022
00156354,39,2022
00150633,0.0,2022
00129509,22,2022
00111458,0.0,2022
00105299,5.0,2022
00122481,9.0,2022
00132628,1.0,2022
00106881,0.0,2022
00134565,18.0,2022
00143314,3.0,2022
00108746,12.0,2022
00146649,0.0,2022
00135777,0.0,2022
00103662,8.0,2022
00135111,7.0,2022
00118008,0.0,2022
00138792,86,2022
00134316,0.0,2022
00191588,6,2022
00115065,17.0,2022
00103510,0.0,2022
00180795,0.0,2022
00121969,27.0,2022
00142865,43,2022
00177199,0.0,2022
00114154,168,2022
00191472,20,2022
00157070,84,2022
00197759,7,2022
00136776,0.0,2022
00123781,2.0,2022
00144395,11,2022
00204208,38.0,2022
00178754,28.0,2022
00135795,4,2022
00118044,86,2022
00273615,2.0,2022
00186559,84,2022
00218575,13.0,2022
00193009,1.0,2022
00146861,141,2022
00125576,0.0,2022
00145862,14,2022
00122551,0.0,2022
00249247,9,2022
00161383,6.0,2022
00269241,0.0,2022
00347734,0.0,2022
00422895,109,2022
00423690,95.0,2022
00427483,20,2022
00357360,14,2022
00151298,0.0,2022
