corp_code,영업이익,year
106641,"7,233,120,000,000",2022
138279,"3,405,166,000,000",2022
155355,"26,331,500,743",2022
190321,"1,690,088,000,000",2022
181712,"8,004,710,000,000",2022
266961,"1,304,664,410,543",2022
124504,"902,507,009,000",2022
631518,"3,917,340,789,000",2022
113410,"411,786,887,242",2022
117212,"1,126,028,726,422",2022
109693,"287,459,456,441",2022
146083,"-98,410,983,144",2022
160047,"245,248,895,826",2022
113508,"29,976,023,937",2022
116824,"37,854,827,137",2022
164779,"6,809,417,000,000",2022
164478,"574,902,000,000",2022
160588,"2,516,091,000,000",2022
160843,"768,746,685,740",2022
148540,"2,154,201,790,000",2022
120076,"965,543,470,335",2022
113207,"48,173,734,000",2022
121941,"139,998,990,821",2022
131780,"154,211,000,000",2022
117577,"399,824,809,538",2022
163512,"114,501,782,947",2022
161046,"28,496,185,960",2022
154462,"271,900,712,401",2022
117230,"122,015,643,800",2022
126955,"90,375,676,138",2022
138224,"220,871,335,735",2022
113526,"2,830,586,753,727",2022
120021,"1,941,380,000,000",2022
157681,"404,310,707,357",2022
145880,"1,616,457,125,289",2022
171636,"19,097,970,000",2022
136378,"645,448,993,543",2022
125743,"33,466,461,486",2022
157399,"55,104,959,837",2022
117188,"64,887,143,335",2022
120562,"489,830,602,915",2022
124726,"39,407,655,268",2022
120571,"222,858,437,341",2022
164742,"9,819,769,000,000",2022
131832,"362,228,951,564",2022
105952,"670,941,000,000",2022
120030,"554,834,830,515",2022
126362,"1,808,013,013,202",2022
140177,"245,131,973,064",2022
141529,"185,656,436,842",2022
109189,"196,865,725,672",2022
165680,"78,346,330,937",2022
161426,"67,626,014,492",2022
126371,"1,182,835,924,271",2022
136086,"96,311,787,654",2022
161693,"-21,690,245,389",2022
119007,"68,291,305,211",2022
162461,"966,247,380,110",2022
140964,"1,002,198,707,249",2022
148896,"976,672,782,000",2022
105855,"187,524,016,869",2022
103626,"2,686,828,469",2022
164609,"-109,066,121,000",2022
105961,"1,271,751,532,028",2022
165413,"-762,606,983,916",2022
164645,"9,951,555,000,000",2022
106623,"212,115,000,000",2022
164812,"66,827,508,014",2022
139889,"220,255,942,998",2022
164788,"2,026,531,000,000",2022
126566,"377,215,126,599",2022
158501,"204,138,904,290",2022
140955,"185,990,108,464",2022
159023,"1,612,070,000,000",2022
164724,"43,016,096,622",2022
139454,"39,038,794,156",2022
126186,"916,074,023,314",2022
144164,"390,470,990,382",2022
188089,"168,315,660,882",2022
170558,"677,378,551,681",2022
120526,"386,225,594,610",2022
203582,"2,714,713,037",2022
219097,"61,203,792,653",2022
126308,"702,942,994,188",2022
149655,"2,528,524,413,589",2022
234412,"115,270,511,523",2022
274933,"20,577,349,768",2022
231363,"1,081,260,000,000",2022
244455,"1,267,649,967,727",2022
255619,"217,565,214,200",2022
258801,"580,315,993,061",2022
261443,"559,006,120,606",2022
260408,"18,799,101,788",2022
220561,"65,584,851,127",2022
160232,"69,511,091,603",2022
124540,"760,006,514,642",2022
309503,"141,617,667,318",2022
356370,"711,122,934,369",2022
349097,"63,195,741,120",2022
413523,"30,651,133,401",2022
412597,"110,640,961,829",2022
372882,"24,326,774,606",2022
372873,"19,544,619,038",2022
302926,"147,486,669,000",2022
401731,"3,550,972,000,000",2022
201450,"95,091,041,984",2022
428251,"320,928,734,000",2022
159698,"-403,893,693,760",2022
158307,"-52,011,444,171",2022
500254,"5,005,127,000,000",2022
303873,"-76,765,794,985",2022
300548,"-27,895,323,942",2022
503668,"179,111,737,872",2022
362238,"-83,009,289,041",2022
195229,"435,072,372,234",2022
361008,"-29,534,217,363",2022
539274,"143,809,242,039",2022
360595,"1,798,516,596,130",2022
583442,"26,100,359,244",2022
583424,"214,233,255,761",2022
635134,"1,664,708,210,000",2022
759513,"14,940,000,000",2022
795135,"242,496,098,882",2022
828497,"158,090,311,455",2022
872984,"135,651,681,895",2022
896285,"82,016,000,000",2022
956930,"16,672,741,081",2022
983040,"14,487,192,387",2022
992871,"109,906,061,531",2022
1009789,"53,100,853,848",2022
1032413,"204,416,060,360",2022
1036446,"150,682,128,141",2022
877059,"983,627,394,377",2022
508344,"64,346,246,785",2022
1060744,"130,225,532,966",2022
565154,"136,891,845,495",2022
1168383,"-73,481,142,189",2022
1208885,"25,271,267,744",2022
1238169,"466,654,503,027",2022
339391,"24,022,201,122",2022
1263022,"252,407,573,570",2022
1267170,"230,480,673,367",2022
1262032,"34,251,438,232",2022
1316236,"-336,727,239,866",2022
1316227,"123,593,507,716",2022
1316245,"143,248,629,974",2022
1316254,"315,070,313,327",2022
362441,"142,362,193,871",2022
148364,"941,306,774,707",2022
265324,"137,375,904,912",2022
260958,"15,223,887,429",2022
228536,"15,696,393,563",2022
127954,"97,840,086,516",2022
347062,"9,054,708,903",2022
871833,"17,851,415,161",2022
126937,"132,324,000,000",2022
150244,"190,571,249,139",2022
145109,"36,028,967,211",2022
148993,"202,502,517,207",2022
129387,"19,854,394,322",2022
109286,"88,279,120,517",2022
104768,"28,462,568,691",2022
163691,"29,646,246,718",2022
114792,"743,493,091,943",2022
138190,"70,467,603,982",2022
149354,"-32,878,294,931",2022
128971,"81,072,831,792",2022
138701,"232,577,852,131",2022
114552,"11,939,896,822",2022
103006,"133,503,465,388",2022
173874,"-54,253,533,449",2022
