corp_code,직원 수,연도
00106641,34260.0,2022
00138279,951.0,2022
00155355,470.0,2022
00190321,19823.0,2022
00181712,4422.0,2022
00266961,4811.0,2022
00124504,1194.0,2022
00631518,426.0,2022
00113410,970.0,2022
00117212,1017.0,2022
00109693,30.0,2022
00146083,93.0,2022
00160047,1040.0,2022
00113508,55.0,2022
00116824,89.0,2022
00164779,31856.0,2022
00164478,1991.0,2022
00160588,2042.0,2022
00160843,985.0,2022
00148540,59.0,2022
00120076,756.0,2022
00113207,881.0,2022
00121941,763.0,2022
00131780,1312.0,2022
00117577,8.0,2022
00163512,1479.0,2022
00161046,926.0,2022
00154462,87.0,2022
00117230,926.0,2022
00126955,1567.0,2022
00138224,42.0,2022
00113526,1358.0,2022
00120021,189.0,2022
00157681,908.0,2022
00145880,306.0,2022
00171636,40.0,2022
00136378,830.0,2022
00125743,482.0,2022
00157399,578.0,2022
00117188,1210.0,2022
00120562,281.0,2022
00124726,343.0,2022
00120571,960.0,2022
00164742,64840.0,2022
00131832,51.0,2022
00105952,80.0,2022
00120030,2259.0,2022
00126362,400.0,2022
00140177,3413.0,2022
00141529,3073.0,2022
00109189,13.0,2022
00165680,1642.0,2022
00161426,419.0,2022
00126371,1549.0,2022
00136086,415.0,2022
00161693,2174.0,2022
00119007,693.0,2022
00162461,1794.0,2022
00140964,39.0,2022
00148896,1691.0,2022
00105855,1349.0,2022
00103626,262.0,2022
00164609,56.0,2022
00105961,2354.0,2022
00165413,734.0,2022
00164645,1677.0,2022
00106623,2833.0,2022
00164812,213.0,2022
00139889,168.0,2022
00164788,112.0,2022
00126566,235.0,2022
00158501,938.0,2022
00140955,558.0,2022
00159023,929.0,2022
00164724,179.0,2022
00139454,838.0,2022
00126186,3778.0,2022
00144164,562.0,2022
00188089,429.0,2022
00170558,6305.0,2022
00120526,20668.0,2022
00203582,298.0,2022
00219097,50.0,2022
00126308,1109.0,2022
00149655,3691.0,2022
00234412,1218.0,2022
00274933,3766.0,2022
00231363,10263.0,2022
00244455,437.0,2022
00255619,2344.0,2022
00258801,3681.0,2022
00261443,2243.0,2022
00260408,419.0,2022
00220561,170.0,2022
00160232,463.0,2022
00124540,2375.0,2022
00309503,1381.0,2022
00356370,3127.0,2022
00349097,379.0,2022
00413523,606.0,2022
00412597,1022.0,2022
00372882,273.0,2022
00372873,242.0,2022
00302926,1699.0,2022
00401731,1478.0,2022
00201450,572.0,2022
00428251,3142.0,2022
00159698,654.0,2022
00158307,2037.0,2022
00500254,59.0,2022
00303873,3636.0,2022
00300548,776.0,2022
00503668,1892.0,2022
00362238,763.0,2022
00195229,43.0,2022
00361008,764.0,2022
00539274,44.0,2022
00360595,2107.0,2022
00583442,752.0,2022
00583424,634.0,2022
00635134,1497.0,2022
00759513,1962.0,2022
00795135,1373.0,2022
00828497,637.0,2022
00872984,23844.0,2022
00896285,1238.0,2022
00956930,477.0,2022
00983040,26.0,2022
00992871,736.0,2022
01009789,1177.0,2022
01032413,1024.0,2022
01036446,893.0,2022
00877059,2767.0,2022
00508344,245.0,2022
01060744,129.0,2022
00565154,780.0,2022
01168383,1420.0,2022
01208885,262.0,2022
01238169,1352.0,2022
00339391,589.0,2022
01263022,667.0,2022
01267170,1611.0,2022
01262032,1810.0,2022
01316236,306.0,2022
01316227,1618.0,2022
01316245,1719.0,2022
01316254,845.0,2022
00362441,1965.0,2022
00148364,65.0,2022
00265324,3440.0,2022
00260958,493.0,2022
00228536,539.0,2022
00127954,1087.0,2022
00347062,324.0,2022
00871833,1190.0,2022
00126937,497.0,2022
00150244,537.0,2022
00145109,468.0,2022
00148993,14.0,2022
00129387,815.0,2022
00109286,925.0,2022
00104768,426.0,2022
00163691,22.0,2022
00114792,121.0,2022
00138190,243.0,2022
00149354,39.0,2022
00128971,993.0,2022
00138701,13.0,2022
00114552,280.0,2022
00103006,749.0,2022
00173874,126.0,2022
00105271,1667.0,2022
00132211,500.0,2022
00124197,34.0,2022
00146269,519.0,2022
00153393,2380.0,2022
00162993,25.0,2022
00141149,592.0,2022
00113544,161.0,2022
00107598,1984.0,2022
00109718,808.0,2022
00157991,205.0,2022
00108241,5198.0,2022
00127802,752.0,2022
00130879,197.0,2022
00128555,835.0,2022
00118266,281.0,2022
00132804,579.0,2022
00125150,196.0,2022
00108135,160.0,2022
00125530,1859.0,2022
00167192,789.0,2022
00125521,536.0,2022
00126380,241654.0,2022
00166227,32.0,2022
00129679,519.0,2022
00164672,441.0,2022
00125080,22.0,2022
00124799,317.0,2022
00107613,882.0,2022
00126487,44.0,2022
00163114,21.0,2022
00140946,261.0,2022
00153861,1116.0,2022
00101488,150.0,2022
00126478,501.0,2022
00166315,841.0,2022
00115977,671.0,2022
00106368,204.0,2022
00102618,726.0,2022
00143527,14.0,2022
00164636,12.0,2022
00166272,157.0,2022
00159786,452.0,2022
00105101,28.0,2022
00159193,23556.0,2022
00130684,502.0,2022
00165583,293.0,2022
00159795,481.0,2022
00161125,63.0,2022
00133991,322.0,2022
00108913,846.0,2022
00176914,602.0,2022
00203290,109.0,2022
00122737,834.0,2022
00148276,1380.0,2022
00105873,28998.0,2022
00217947,685.0,2022
00158316,41.0,2022
00219486,1332.0,2022
00261285,1498.0,2022
00225159,10.0,2022
00222532,1049.0,2022
00219574,196.0,2022
00340917,3084.0,2022
00356361,2155.0,2022
00159209,337.0,2022
00256955,392.0,2022
00377610,40.0,2022
00390055,558.0,2022
00413046,2120.0,2022
00459871,7.0,2022
00481454,231.0,2022
00480455,838.0,2022
00400857,245.0,2022
00357935,365.0,2022
00555874,2654.0,2022
00595191,366.0,2022
00414850,338.0,2022
00628189,306.0,2022
00679314,564.0,2022
00684714,1066.0,2022
00776820,245.0,2022
00557508,1660.0,2022
00194947,77.0,2022
00855093,401.0,2022
00241005,372.0,2022
00937324,315.0,2022
00939331,1003.0,2022
00939687,550.0,2022
00983271,857.0,2022
00990165,487.0,2022
00101664,484.0,2022
00911955,145.0,2022
01108099,69.0,2022
01032486,121.0,2022
01128613,5.0,2022
00904672,805.0,2022
00653024,1641.0,2022
01060814,495.0,2022
01319808,627.0,2022
01325979,636.0,2022
00118804,157.0,2022
00158325,513.0,2022
00252135,521.0,2022
00223762,215.0,2022
00130763,630.0,2022
00298270,265.0,2022
00358271,622.0,2022
00398701,109.0,2022
00579980,361.0,2022
00536541,130.0,2022
00486097,432.0,2022
00447609,1268.0,2022
00554024,144.0,2022
00579999,450.0,2022
00525934,287.0,2022
00857727,2325.0,2022
00549891,159.0,2022
01135941,170.0,2022
01234507,996.0,2022
00119195,757.0,2022
00144818,349.0,2022
00111847,702.0,2022
00148984,469.0,2022
00128032,505.0,2022
00149026,5.0,2022
00151395,296.0,2022
00166519,303.0,2022
00100939,597.0,2022
00144252,236.0,2022
00134723,159.0,2022
00149947,1155.0,2022
00113243,344.0,2022
00106395,92.0,2022
00122472,201.0,2022
00122579,540.0,2022
00113234,278.0,2022
00159740,31.0,2022
00152862,69.0,2022
00101433,328.0,2022
00127042,268.0,2022
00158112,402.0,2022
00138729,264.0,2022
00136457,156.0,2022
00174527,321.0,2022
00148443,42.0,2022
00117300,275.0,2022
00104722,369.0,2022
00127167,53.0,2022
00158149,106.0,2022
00165343,271.0,2022
00152880,1288.0,2022
00132725,171.0,2022
00111810,318.0,2022
00118275,185.0,2022
00111999,1087.0,2022
00163673,7.0,2022
00164706,358.0,2022
00133812,645.0,2022
00109806,255.0,2022
00129235,202.0,2022
00133858,921.0,2022
00113492,599.0,2022
00172936,237.0,2022
00148920,470.0,2022
00129989,366.0,2022
00163716,28.0,2022
00168331,64.0,2022
00121288,197.0,2022
00160302,222.0,2022
00156691,361.0,2022
00128412,731.0,2022
00127200,413.0,2022
00145163,126.0,2022
00153126,59.0,2022
00155531,249.0,2022
00143794,87.0,2022
00111421,344.0,2022
00113535,169.0,2022
00145552,434.0,2022
00118026,1566.0,2022
00126779,307.0,2022
00159254,49.0,2022
00108977,148.0,2022
00159810,201.0,2022
00260383,843.0,2022
00141404,94.0,2022
00122898,380.0,2022
00124090,522.0,2022
00130091,2.0,2022
00104388,774.0,2022
00152686,153.0,2022
00154329,327.0,2022
00137252,332.0,2022
00131692,758.0,2022
00145260,759.0,2022
00103042,420.0,2022
00138260,497.0,2022
00136864,656.0,2022
00103592,1006.0,2022
00153621,161.0,2022
00162586,301.0,2022
00159971,18.0,2022
00151128,270.0,2022
00160205,609.0,2022
00102858,88.0,2022
00141273,30.0,2022
00155124,76.0,2022
00139764,248.0,2022
00129013,347.0,2022
00137207,292.0,2022
00138297,76.0,2022
00136271,490.0,2022
00163345,381.0,2022
00141477,391.0,2022
00172291,631.0,2022
00173102,198.0,2022
00146232,390.0,2022
00117179,53.0,2022
00140779,258.0,2022
00105156,107.0,2022
00124780,230.0,2022
00132637,1576.0,2022
00112679,100.0,2022
00153339,247.0,2022
00113614,445.0,2022
00161976,23.0,2022
00166573,504.0,2022
00108940,39.0,2022
00119672,526.0,2022
00161709,216.0,2022
00143651,824.0,2022
00121039,284.0,2022
00142883,218.0,2022
00152729,794.0,2022
00149239,340.0,2022
00137359,809.0,2022
00118965,455.0,2022
00140131,237.0,2022
00198697,112.0,2022
00131197,145.0,2022
00121534,51.0,2022
00159500,1086.0,2022
00112022,158.0,2022
00181943,5.0,2022
00145464,151.0,2022
00107987,489.0,2022
00133706,281.0,2022
00209780,216.0,2022
00231372,1093.0,2022
00158963,885.0,2022
00134510,646.0,2022
00121543,223.0,2022
00130772,943.0,2022
00129642,599.0,2022
00369833,304.0,2022
00303217,553.0,2022
00159218,609.0,2022
00353878,228.0,2022
00398792,673.0,2022
00428729,177.0,2022
00435312,194.0,2022
00210856,228.0,2022
00406046,257.0,2022
00414601,212.0,2022
00454946,171.0,2022
00113225,401.0,2022
00540641,630.0,2022
00409672,254.0,2022
00573579,734.0,2022
00671376,1983.0,2022
00589127,566.0,2022
00587466,21.0,2022
00117726,518.0,2022
00593032,1057.0,2022
00365387,547.0,2022
00632304,138.0,2022
00520887,880.0,2022
00648721,176.0,2022
00428321,480.0,2022
00145598,475.0,2022
00687711,346.0,2022
00728638,492.0,2022
00173944,148.0,2022
00753643,43.0,2022
00670340,102.0,2022
00787376,396.0,2022
00360142,398.0,2022
00823429,48.0,2022
00815369,302.0,2022
00151368,458.0,2022
00661847,114.0,2022
00119140,907.0,2022
00526599,720.0,2022
00110608,163.0,2022
01010110,316.0,2022
00132354,66.0,2022
01059605,365.0,2022
01093007,8.0,2022
00225706,260.0,2022
01167056,600.0,2022
01205329,1184.0,2022
01261893,759.0,2022
01267684,478.0,2022
00248974,613.0,2022
01310269,1064.0,2022
00367844,618.0,2022
01412822,271.0,2022
00128111,962.0,2022
00141671,275.0,2022
00216647,388.0,2022
00238782,191.0,2022
00226352,374.0,2022
00171265,1111.0,2022
00258689,315.0,2022
00247975,69.0,2022
00239639,617.0,2022
00260930,561.0,2022
00187415,151.0,2022
00280688,40.0,2022
00369170,356.0,2022
00306454,117.0,2022
00353610,197.0,2022
00228350,306.0,2022
00225742,55.0,2022
00364467,316.0,2022
00378628,82.0,2022
00245472,465.0,2022
00399694,642.0,2022
00405320,480.0,2022
00104573,173.0,2022
00476498,1275.0,2022
00177816,298.0,2022
00531014,304.0,2022
00359395,130.0,2022
00490151,504.0,2022
00524421,411.0,2022
00525642,433.0,2022
00444329,467.0,2022
00613318,394.0,2022
00612294,458.0,2022
00888347,494.0,2022
00366137,21.0,2022
01032404,500.0,2022
01061327,339.0,2022
00970453,289.0,2022
01067516,471.0,2022
00819073,235.0,2022
01159853,824.0,2022
01160363,1264.0,2022
01168684,167.0,2022
01152470,728.0,2022
01237540,600.0,2022
01236532,147.0,2022
00897752,131.0,2022
01256864,93.0,2022
00112378,52.0,2022
00101628,149.0,2022
00133335,49.0,2022
00126089,149.0,2022
00141307,693.0,2022
00104698,192.0,2022
00145686,28.0,2022
00123541,231.0,2022
00147222,242.0,2022
00159573,142.0,2022
00112970,325.0,2022
00120872,165.0,2022
00107066,738.0,2022
00126414,71.0,2022
00152039,110.0,2022
00101220,200.0,2022
00154055,34.0,2022
00125974,414.0,2022
00117337,445.0,2022
00118345,215.0,2022
00148948,106.0,2022
00148461,53.0,2022
00106119,111.0,2022
00114765,351.0,2022
00117027,190.0,2022
00129350,594.0,2022
00102751,117.0,2022
00116268,303.0,2022
00163196,106.0,2022
00122694,112.0,2022
00133618,57.0,2022
00127857,52.0,2022
00149345,433.0,2022
00141626,108.0,2022
00118451,160.0,2022
00173698,115.0,2022
00123107,137.0,2022
00150828,303.0,2022
00121932,653.0,2022
00149804,332.0,2022
00174004,551.0,2022
00106313,864.0,2022
00123718,567.0,2022
00146214,223.0,2022
00160621,182.0,2022
00154426,181.0,2022
00122348,245.0,2022
00122056,78.0,2022
00161860,348.0,2022
00133511,108.0,2022
00115287,750.0,2022
00108038,225.0,2022
00172185,58.0,2022
00134963,634.0,2022
00148939,151.0,2022
00135050,250.0,2022
00138057,39.0,2022
00114093,156.0,2022
00109514,14.0,2022
00127158,69.0,2022
00162063,720.0,2022
00135962,127.0,2022
00156488,523.0,2022
00124151,248.0,2022
00136341,750.0,2022
00109754,719.0,2022
00136624,396.0,2022
00115612,715.0,2022
00141875,717.0,2022
00260392,153.0,2022
00122825,53.0,2022
