code,y,pred_y
00858364,136966388131736.0,128287034114030.0
00115694,9757370294448.0,9583673039437.0
00159102,64751602573672.0,60054421460911.0
00878915,91010724523683.0,85905990881914.0
00980122,59828165000000.0,56395637000000.0
00688996,663895834000000.0,610719944000000.0
00120216,41606340000000.0,40333253000000.0
00120182,58541999000000.0,62738433000000.0
01596425,22160583000000.0,22639140000000.0
00131850,6464840829921.0,6371402200705.0
01030132,48891749675993.0,46628812415511.0
01028164,28582139059318.0,28180102436073.0
00113359,13417260497201.0,11483824493952.0
00386937,483564898000000.0,438444114000000.0
00149646,398071914000000.0,361616177000000.0
00651017,143015081485.0,124079563210.0
00156859,9503703776447.0,9229156624529.0
00109019,64515490039726.0,59265704959569.0
00110893,22763241909000.0,21503846682000.0
00117267,37420242872656.0,37103344689802.0
00860332,92757160397678.0,82030936760089.0
00163682,56452695449049.0,54108239112787.0
00117744,35906387429132.0,27688968238536.0
00136101,65090382943.0,67513345476.0
00340096,1043007221678.0,861706756697.0
00112332,37250009518688.0,41997269886566.0
00111722,106213250693869.0,108641793313959.0
00123772,1481429884085.0,1647423235887.0
00124106,73236529609041.0,67077755051826.0
00260356,8792535423177.0,7513808587908.0
00126256,341382574000000.0,336569287000000.0
00104856,53848261017182.0,65707486999598.0
00126292,29623192873201.0,27144187002023.0
00139214,94934011110452.0,92596378892064.0
00112059,598057726910.0,582480466287.0
00117498,253949338421.0,341992756855.0
00136721,10198800404537.0,11085013453233.0
00149293,467435213000000.0,427675103000000.0
00382199,675884281000000.0,648152185000000.0
00138321,43821577000000.0,44446804000000.0
00156895,373289319678.0,400195291373.0
01350869,447183871000000.0,399081017000000.0
00209443,12581472647468.0,10259868241147.0
00231664,922989936891.0,129464341454.0
00254045,415976627000000.0,374310415000000.0
00104102,5159741764547.0,4332473544805.0
00117601,13419879837000.0,14714933646000.0
00131054,8076408298781.0,9175464956273.0
00330424,6169919669399.0,6931932578875.0
00147295,23110353000000.0,20688179000000.0
00148832,6944214000000.0,6531838000000.0
00164876,53817409331605.0,55430795415962.0
00161408,16077476544847.0,14553877079363.0
00113191,14978130247913.0,13115655264523.0
00296290,48037301112929.0,45301100676390.0
00547583,568873199000000.0,502445270000000.0
00158909,430193576000000.0,396187562000000.0
00432102,86308574156762.0,82036577890168.0
00148504,86714300000000.0,83188942000000.0
00161444,46534283000000.0,45378099000000.0
00404701,1363794175394.0,1264658299712.0
00149594,3468328032644.0,3299248319573.0
00233653,1721448771288.0,1544471450936.0
00113058,161235542021519.0,163591373127331.0
00135917,20382687831487.0,20284988079286.0
00148610,12111249518203.0,11791027414662.0
00137997,10233054.0,8806128.0
00164973,52818002945135.0,49194086423113.0
