,tag,제 91 기,제 90 기,제 89 기
0,자산총계,707392786834,703302244198,648660747359
1,부채총계,174455181975,177896782203,159282203271
2,2.무형자산,2732453380,3528520260,4153555318
3,Ⅴ.영업이익(손실),8033442422,"(2,951,399,189)","(6,886,004,255)"
4,XⅡ.계속영업이익(손실),7466828826,"(5,912,296,590)","(5,951,250,098)"
5,XⅢ.중단영업이익(손실),"(2,402,689,746)","(4,962,769,448)","(1,982,454,075)"
6,계속영업이익(손실),7475390058,"(5,906,078,723)","(5,931,230,064)"
7,중단영업이익(손실),"(2,402,689,746)","(4,962,769,448)","(1,982,454,075)"
8,계속영업이익(손실),"(8,561,232)","(6,217,867)","(20,020,034)"
9,중단영업이익(손실),0,0,0
10,Ⅹ.법인세비용차감전순이익(손실),7478494657,"(4,072,392,800)","(7,218,599,564)"
