,stock_code,corp_name
0,000370,한화손해보험
1,000400,롯데손해보험
2,000540,흥국화재
3,000650,천일고속
4,000810,삼성화재해상보험
5,001080,만호제강
6,001200,유진증권
7,001270,부국증권
8,001290,상상인증권
9,001360,삼성제약
10,001420,태원물산
11,001450,현대해상
12,001500,현대차증권
13,001510,SK증권
14,001550,조비
15,001720,신영증권
16,001750,한양증권
17,001880,DL건설
18,002210,동성제약
19,002220,한일철강
20,002420,세기상사
21,002630,오리엔트바이오
22,002690,동일제강
23,002700,신일전자
24,002760,보락
25,002780,진흥기업
26,002920,유성기업
27,002960,한국쉘석유
28,003010,혜인
29,003120,일성신약
30,003350,한국화장품제조
31,003460,유화증권
32,003470,유안타증권
33,003520,영진약품
34,003530,한화투자증권
35,003540,대신증권
36,003680,한성기업
37,003690,코리안리
38,003830,대한화섬
39,004310,현대약품
40,004410,서울식품공업
41,004700,조광피혁
42,004870,티웨이홀딩스
43,005030,부산주공
44,005070,코스모신소재
45,005690,파미셀
46,005830,DB손해보험
47,005870,휴니드테크놀러지스
48,005940,NH투자증권
49,005950,이수화학
50,006090,사조오양
51,006220,제주은행
52,006380,카프로
53,006390,한일현대시멘트
54,006800,미래에셋증권
55,007110,일신석재
56,007280,한국특강
57,008260,NI스틸
58,008420,문배철강
59,008560,메리츠증권
60,009320,대우부품
61,009460,한창제지
62,009520,포스코엠텍
63,009770,삼정펄프
64,009830,한화솔루션
65,010050,우리종금
66,010660,화천기계
67,010820,퍼스텍
68,011150,CJ씨푸드
69,011420,갤럭시아에스엠
70,011500,한농화성
71,012280,영화금속
72,012690,모나리자
73,013700,까뮤이앤씨
74,014160,대영포장
75,014710,사조씨푸드
76,015020,이스타코
77,015590,큐로
78,016090,대현
79,016360,삼성증권
80,016600,큐캐피탈
81,016610,DB금융투자
82,018470,조일알미늄
83,021050,서원
84,021320,KCC건설
85,021880,메이슨캐피탈
86,023000,삼원강재
87,023350,한국종합기술
88,023450,동남합성
89,023760,한국캐피탈
90,024090,디씨엠
91,024110,기업은행
92,025820,이구산업
93,025890,한국주강
94,026940,부국철강
95,027360,아주IB투자
96,027970,세하
97,029780,삼성카드
98,029960,코엔텍
99,030610,교보증권
100,032830,삼성생명
101,033270,유나이티드
102,034300,신세계건설
103,034830,한국토지신탁
104,036030,케이티알파
105,036560,영풍정밀
106,036670,KCI
107,037710,광주신세계
108,039490,키움증권
109,041190,우리기술투자
110,044820,코스맥스비티아이
111,051630,진양화학
112,053350,이니텍
113,055550,신한지주
114,058470,리노공업
115,058860,KTis
116,060370,KT서브마린
117,064760,티씨케이
118,067830,세이브존I&C
119,068290,삼성출판사
120,068760,셀트리온제약
121,069460,대호에이엘
122,069730,DSR제강
123,071050,한국금융지주
124,071840,롯데하이마트
125,078020,이베스트투자증권
126,082640,동양생명
127,083420,그린케미칼
128,084680,이월드
129,085620,미래에셋생명
130,086790,하나금융지주
131,088350,한화생명
132,101140,인바이오젠
133,104480,티케이케미칼
134,104700,한국철강
135,120030,조선선재
136,123890,한국자산신탁
137,133820,화인베스틸
138,134380,미원화학
139,138040,메리츠금융지주
140,138930,BNK금융지주
141,139130,DGB금융지주
142,175330,JB금융지주
143,190650,코리아에셋투자증권
144,214390,경보제약
145,241560,두산밥캣
146,264900,크라운제과
147,267850,아시아나IDT
148,272450,진에어
149,273060,와이즈버즈
150,281820,케이씨텍
151,293480,하나제약
152,293580,나우IB
153,298690,에어부산
154,306200,세아제강
155,316140,우리금융지주
156,336260,두산퓨얼셀
