,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20220323000547,Y,00255619,강원랜드,남,카지노,-,-,-,"1,300",-,8,-,"1,308",14.05,"86,117,623,000","68,096,000",-
1,20220323000547,Y,00255619,강원랜드,여,지원부서및기타,-,-,-,127,-,19,-,146,11.76,"8,635,822,000","61,300,000",-
2,20220323000547,Y,00255619,강원랜드,남,하이원워터파크,-,-,-,27,-,-,-,27,12.80,"1,633,205,000","62,827,000",-
3,20220323000547,Y,00255619,강원랜드,여,하이원워터파크,-,-,-,6,-,-,-,6,11.07,"453,392,000","23,651,000",-
4,20220323000547,Y,00255619,강원랜드,여,카지노,-,-,-,807,-,27,-,834,13.57,"44,949,261,000","62,238,000",-
5,20220323000547,Y,00255619,강원랜드,남,하이원그랜드호텔,-,-,-,412,-,23,-,435,15.78,"32,679,870,000","76,182,000",-
6,20220323000547,Y,00255619,강원랜드,여,하이원그랜드호텔,-,-,-,168,-,32,-,200,12.76,"9,702,907,000","63,132,000",-
7,20220323000547,Y,00255619,강원랜드,남,하이원팰리스호텔/콘도,-,-,-,126,-,-,-,126,16.69,"9,872,815,000","80,318,000",-
8,20220323000547,Y,00255619,강원랜드,여,하이원팰리스호텔/콘도,-,-,-,62,-,2,-,64,14.69,"3,112,814,000","64,364,000",-
9,20220323000547,Y,00255619,강원랜드,남,스키장/골프장,-,-,-,78,-,95,-,173,5.52,"9,431,811,000","68,098,000",-
10,20220323000547,Y,00255619,강원랜드,여,스키장/골프장,-,-,-,6,-,39,-,45,1.66,"1,466,651,000","68,069,000",-
11,20220323000547,Y,00255619,강원랜드,남,지원부서및기타,-,-,-,471,-,23,-,494,15.10,"40,380,921,000","83,256,000",-
