corp_name,esg,fin_state,corp_code,stock_code
기아,A+,"60,490,443,000,000",00106641,000270
S-Oil,A+,"15,690,510,000,000",00138279,010950
풀무원,A+,"1,693,573,176,270",00155355,017810
케이티,A+,"33,662,545,000,000",00190321,030200
SK,A+,"137,667,906,000,000",00181712,034730
NAVER,A+,"17,014,238,663,770",00266961,035420
포스코인터내셔널,A+,"8,328,038,736,000",00124504,047050
SK이노베이션,A+,"38,498,146,106,000",00631518,096770
CJ대한통운,A,"9,643,498,959,607",00113410,000120
두산,A,"30,171,677,076,492",00117212,000150
DL,A,"13,901,859,840,255",00109693,000210
일동홀딩스,A,"810,988,824,285",00146083,000230
한국앤컴퍼니,A,"3,792,451,107,167",00160047,000240
노루홀딩스,A,"1,051,083,864,532",00113508,000320
동아쏘시오홀딩스,A,"1,511,106,332,704",00116824,000640
SK하이닉스,A,"71,173,853,000,000",00164779,000660
현대건설,A,"17,939,274,000,000",00164478,000720
한화,A,"192,129,878,000,000",00160588,000880
DB하이텍,A,"1,178,581,197,181",00160843,000990
CJ,A,"40,024,965,069,000",00148540,001040
LX인터내셔널,A,"5,395,942,204,029",00120076,001120
대한전선,A,"1,199,462,928,000",00113207,001440
대상,A,"2,528,335,046,890",00121941,001680
SK네트웍스,A,"8,773,482,000,000",00131780,001740
오리온홀딩스,A,"4,497,550,946,110",00117577,001800
한진,A,"3,788,654,067,420",00163512,002320
한독,A,"818,926,686,626",00161046,002390
아모레퍼시픽그룹,A,"7,788,743,600,024",00154462,002790
TYM,A,"656,859,440,050",00117230,002900
삼양식품,A,"556,224,426,073",00126955,003230
쌍용씨앤이,A,"3,326,801,072,629",00138224,003410
대한항공,A,"25,190,061,074,278",00113526,003490
LG,A,"24,282,268,000,000",00120021,003550
롯데정밀화학,A,"1,874,589,381,747",00157681,004000
현대제철,A,"34,845,040,108,141",00145880,004020
한솔홀딩스,A,"627,140,216,000",00171636,004150
신세계,A,"12,769,110,974,270",00136378,004170
현대비앤지스틸,A,"648,496,422,842",00125743,004560
한솔테크닉스,A,"591,392,385,114",00157399,004710
효성,A,"4,429,749,879,590",00117188,004800
롯데지주,A,"16,680,023,234,382",00120562,004990
빙그레,A,"764,138,445,081",00124726,005180
롯데칠성음료,A,"3,466,112,902,925",00120571,005300
현대자동차,A,"209,344,212,000,000",00164742,005380
SK디스커버리,A,"5,621,634,328,840",00131832,006120
LS,A,"11,660,540,000,000",00105952,006260
GS건설,A,"13,770,677,888,907",00120030,006360
삼성SDI,A,"21,534,232,266,829",00126362,006400
GS리테일,A,"7,177,767,175,769",00140177,007070
오뚜기,A,"2,339,299,659,460",00141529,007310
대덕,A,"1,638,748,949,780",00109189,008060
호텔신라,A,"2,893,842,458,745",00165680,008770
한미사이언스,A,"923,219,549,324",00161426,008930
삼성전기,A,"9,225,498,476,076",00126371,009150
무림페이퍼,A,"2,194,982,287,950",00136086,009200
한샘,A,"1,229,509,761,188",00161693,009240
무림P&P,A,"1,430,440,065,855",00119007,009580
한화솔루션,A,"15,137,319,821,657",00162461,009830
영원무역홀딩스,A,"3,732,514,860,246",00140964,009970
OCI,A,"4,437,236,050,000",00148896,010060
엘에스일렉트릭,A,"2,540,396,071,840",00105855,010120
한솔피엔에스,A,"107,126,396,285",00103626,010420
현대미포조선,A,"3,599,025,550,000",00164609,010620
LG이노텍,A,"6,038,600,271,628",00105961,011070
롯데케미칼,A,"19,386,545,994,630",00165413,011170
HMM,A,"9,373,360,000,000",00164645,011200
현대위아,A,"7,719,906,000,000",00106623,011210
현대코퍼레이션,A,"1,219,059,292,183",00164812,011760
SKC,A,"5,406,405,840,533",00139889,011790
현대모비스,A,"48,497,676,000,000",00164788,012330
한화에어로스페이스,A,"9,464,815,678,256",00126566,012450
에스원,A,"1,906,689,693,022",00158501,012750
한솔케미칼,A,"999,200,501,892",00140955,014680
SK텔레콤,A,"47,906,957,000,000",00159023,017670
현대엘리베이터,A,"2,626,221,534,995",00164724,017800
애경산업,A,"434,466,866,367",00139454,018250
삼성에스디에스,A,"9,154,919,055,538",00126186,018260
SK가스,A,"4,498,920,423,918",00144164,018670
한섬,A,"1,438,544,149,461",00188089,020000
코웨이,A,"3,029,023,072,502",00170558,021240
롯데쇼핑,A,"32,829,404,196,405",00120526,023530
한솔홈데코,A,"294,990,295,620",00203582,025750
BGF,A,"1,658,204,361,732",00219097,027410
삼성엔지니어링,A,"4,755,575,903,078",00126308,028050
삼성물산,A,"54,331,740,265,746",00149655,028260
신세계인터내셔날,A,"1,147,454,446,219",00234412,031430
신세계푸드,A,"887,204,824,387",00274933,031440
LG유플러스,A,"18,350,190,000,000",00231363,032640
케이티앤지,A,"11,468,383,152,160",00244455,033780
강원랜드,A,"3,641,632,200,970",00255619,035250
카카오,A,"11,953,970,238,956",00258801,035720
엔씨소프트,A,"4,081,208,896,622",00261443,036570
팜스코,A,"989,343,684,526",00260408,036580
광주신세계,A,"784,428,251,334",00220561,037710
KSS해운,A,"1,069,527,677,719",00160232,044450
대우건설,A,"9,305,916,434,448",00124540,047040
한국항공우주,A,"5,159,070,657,348",00309503,047810
LG생활건강,A,"6,801,415,783,710",00356370,051900
케이티스카이라이프,A,"919,475,827,664",00349097,053210
한미글로벌,A,"218,683,633,460",00413523,053690
현대홈쇼핑,A,"2,693,110,904,201",00412597,057050
KTcs,A,"384,918,648,498",00372882,058850
KTis,A,"294,288,884,757",00372873,058860
현대로템,A,"4,197,373,871,000",00302926,064350
LG전자,A,"48,204,227,000,000",00401731,066570
SK렌터카,A,"2,227,147,661,818",00201450,068400
현대백화점,A,"8,707,032,548,000",00428251,069960
지역난방공사,A,"6,073,139,097,386",00159698,071320
롯데하이마트,A,"3,349,190,376,151",00158307,071840
GS,A,"24,476,843,000,000",00500254,078930
CJ CGV,A,"4,354,856,895,866",00303873,079160
현대리바트,A,"803,314,893,273",00300548,079430
LIG넥스원,A,"2,595,606,499,093",00503668,079550
휴비스,A,"872,859,156,018",00362238,079980
휠라홀딩스,A,"3,758,441,248,800",00195229,081660
HSD엔진,A,"723,300,346,064",00361008,082740
대상홀딩스,A,"3,060,158,354,613",00539274,084690
현대글로비스,A,"10,898,704,436,618",00360595,086280
노루페인트,A,"666,659,131,046",00583442,090350
