회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익
기아,106641,270,2022,B+,"73,710,965,000,000","34,367,884,000,000","7,233,120,000,000","7,501,993,000,000"
S-Oil,138279,10950,2022,A,"19,613,135,000,000","11,129,666,000,000","3,405,166,000,000","2,898,542,000,000"
풀무원,155355,17810,2022,A,"2,049,217,755,236","1,502,570,984,984","26,331,500,743","-18,413,093,758"
케이티,190321,30200,2022,A,"40,980,681,000,000","22,565,958,000,000","1,690,088,000,000","1,894,067,000,000"
SK,181712,34730,2022,A+,"194,505,860,000,000","122,697,070,000,000","8,004,710,000,000","5,908,697,000,000"
NAVER,266961,35420,2022,A,"33,899,042,889,136","10,448,720,408,685","1,304,664,410,543","1,083,717,091,152"
포스코인터내셔널,124504,47050,2022,A,"12,516,336,931,000","8,118,209,853,000","902,507,009,000","742,146,584,000"
SK이노베이션,631518,96770,2022,A,"67,218,924,277,000","43,976,612,895,000","3,917,340,789,000","2,860,190,277,000"
CJ대한통운,113410,120,2022,B+,"9,693,299,818,264","5,658,991,479,602","411,786,887,242","285,343,810,348"
두산,117212,150,2022,B+,"26,315,352,623,211","16,017,536,857,154","1,126,028,726,422","-285,903,924,711"
DL,109693,210,2022,A,"12,018,993,889,708","7,401,228,917,375","287,459,456,441","124,682,619,501"
일동홀딩스,146083,230,2022,B+,"862,553,166,894","693,452,985,420","-98,410,983,144","-172,950,439,727"
한국앤컴퍼니,160047,240,2022,B,"4,301,818,675,789","445,377,543,909","245,248,895,826","247,275,364,312"
노루홀딩스,113508,320,2022,A,"1,171,989,377,978","511,163,923,981","29,976,023,937","41,994,647,356"
동아쏘시오홀딩스,116824,640,2022,A,"1,731,452,067,203","732,791,277,454","37,854,827,137","17,608,580,037"
SK하이닉스,164779,660,2022,B+,"103,871,512,000,000","40,580,970,000,000","6,809,417,000,000","4,002,780,000,000"
현대건설,164478,720,2022,A,"20,911,708,000,000","10,987,431,000,000","574,902,000,000","753,815,000,000"
한화,160588,880,2022,A,"211,175,324,000,000","190,296,497,000,000","2,516,091,000,000","2,276,045,000,000"
DB하이텍,160843,990,2022,B,"2,122,700,474,808","484,416,396,415","768,746,685,740","747,138,338,305"
CJ,148540,1040,2022,B+,"48,240,408,307,000","30,506,774,819,000","2,154,201,790,000","1,056,239,012,000"
LX인터내셔널,120076,1120,2022,A,"7,719,007,333,629","4,682,532,060,717","965,543,470,335","1,133,187,692,778"
대한전선,113207,1440,2022,A,"1,620,264,871,000","738,060,568,000","48,173,734,000","31,378,453,000"
대상,121941,1680,2022,B+,"3,190,196,448,368","1,867,569,946,984","139,998,990,821","110,932,873,119"
SK네트웍스,131780,1740,2022,A,"9,499,259,000,000","7,048,547,000,000","154,211,000,000","81,486,000,000"
오리온홀딩스,117577,1800,2022,A,"5,102,168,431,194","977,214,307,936","399,824,809,538","421,165,629,185"
한진,163512,2320,2022,B+,"4,093,197,691,709","2,558,814,752,905","114,501,782,947","38,290,826,956"
한독,161046,2390,2022,B+,"871,106,170,067","489,250,127,554","28,496,185,960","7,316,158,114"
아모레퍼시픽그룹,154462,2790,2022,A,"7,651,003,801,454","1,117,500,460,491","271,900,712,401","288,378,389,515"
TYM,117230,2900,2022,B+,"782,128,426,554","447,666,197,323","122,015,643,800","122,780,246,484"
삼양식품,126955,3230,2022,B+,"924,929,490,964","470,165,749,462","90,375,676,138","101,955,896,513"
쌍용씨앤이,138224,3410,2022,B+,"3,874,346,066,243","2,281,205,119,386","220,871,335,735","171,177,682,136"
대한항공,113526,3490,2022,A,"28,997,701,022,484","19,705,240,815,659","2,830,586,753,727","2,562,134,998,034"
LG,120021,3550,2022,A,"29,633,677,000,000","3,399,491,000,000","1,941,380,000,000","2,045,618,000,000"
롯데정밀화학,157681,4000,2022,A,"2,709,845,870,581","415,627,340,272","404,310,707,357","160,079,935,956"
현대제철,145880,4020,2022,A,"36,800,955,829,773","17,672,412,852,352","1,616,457,125,289","1,348,558,027,452"
한솔홀딩스,171636,4150,2022,A,"723,295,784,000","125,962,865,000","19,097,970,000","57,651,446,000"
신세계,136378,4170,2022,A,"14,348,412,322,688","8,096,632,950,057","645,448,993,543","521,874,825,260"
현대비앤지스틸,125743,4560,2022,C,"857,843,841,402","333,016,274,702","33,466,461,486","33,048,654,435"
한솔테크닉스,157399,4710,2022,B+,"1,071,921,900,693","631,895,650,677","55,104,959,837","36,348,453,753"
효성,117188,4800,2022,B+,"5,267,284,720,508","2,369,980,096,744","64,887,143,335","20,858,603,953"
롯데지주,120562,4990,2022,A,"22,175,416,666,050","12,409,157,931,313","489,830,602,915","499,860,555,981"
빙그레,124726,5180,2022,A,"769,266,587,599","193,497,612,928","39,407,655,268","36,724,028,656"
롯데칠성음료,120571,5300,2022,B+,"3,695,935,640,310","2,283,769,460,026","222,858,437,341","169,386,857,154"
현대자동차,164742,5380,2022,B+,"255,742,462,000,000","164,845,917,000,000","9,819,769,000,000","10,947,943,000,000"
