코드,회사명,시장
A060310,3S,코스닥
A095570,AJ네트웍스,유가증권시장
A006840,AK홀딩스,유가증권시장
A054620,APS,코스닥
A265520,AP시스템,코스닥
A211270,AP위성,코스닥
A027410,BGF,유가증권시장
A282330,BGF리테일,유가증권시장
A126600,BGF에코머티리얼즈,코스닥
A138930,BNK금융지주,유가증권시장
A001460,BYC,유가증권시장
A013720,CBI,코스닥
A083790,CG인바이츠,코스닥
A001040,CJ,유가증권시장
A079160,CJ CGV,유가증권시장
A035760,CJ ENM,코스닥
A311690,CJ 바이오사이언스,코스닥
A000120,CJ대한통운,유가증권시장
A011150,CJ씨푸드,유가증권시장
A097950,CJ제일제당,유가증권시장
A051500,CJ프레시웨이,코스닥
A058820,CMG제약,코스닥
A023460,CNH,코스닥
A056730,CNT85,코스닥
A000480,CR홀딩스,유가증권시장
A065770,CS,코스닥
A083660,CSA 코스믹,코스닥
A000590,CS홀딩스,유가증권시장
A012030,DB,유가증권시장
A404950,DB금융스팩10호,코스닥
A456440,DB금융스팩11호,코스닥
A367360,DB금융스팩9호,코스닥
A016610,DB금융투자,유가증권시장
A005830,DB손해보험,유가증권시장
A000990,DB하이텍,유가증권시장
A139130,DGB금융지주,유가증권시장
A060900,DGP,코스닥
A025440,DH오토웨어,코스닥
A001530,DI동일,유가증권시장
A000210,DL,유가증권시장
A001880,DL건설,유가증권시장
A375500,DL이앤씨,유가증권시장
A068790,DMS,코스닥
A007340,DN오토모티브,유가증권시장
A004840,DRB동일,유가증권시장
A241520,DSC인베스트먼트,코스닥
A065150,DSEN,코스닥
A155660,DSR,유가증권시장
A069730,DSR제강,유가증권시장
A180400,DXVX,코스닥
A017940,E1,유가증권시장
A245620,EDGC,코스닥
A037370,EG,코스닥
A278990,EMB,코넥스
A050120,ES큐브,코스닥
A383220,F&F,유가증권시장
A007700,F&F홀딩스,유가증권시장
A214270,FSN,코스닥
A130500,GH신소재,코스닥
A114090,GKL,유가증권시장
A900290,GRT,코스닥
A078930,GS,유가증권시장
A083450,GST,코스닥
A006360,GS건설,유가증권시장
A001250,GS글로벌,유가증권시장
A007070,GS리테일,유가증권시장
A066400,HANATOURIST,K-OTC
A297890,HB솔루션,코스닥
A078150,HB테크놀러지,코스닥
A012630,HDC,유가증권시장
A039570,HDC랩스,유가증권시장
A089470,HDC현대EP,유가증권시장
A294870,HDC현대산업개발,유가증권시장
A009540,HD한국조선해양,유가증권시장
A267250,HD현대,유가증권시장
A267270,HD현대건설기계,유가증권시장
A322000,HD현대에너지솔루션,유가증권시장
A042670,HD현대인프라코어,유가증권시장
A267260,HD현대일렉트릭,유가증권시장
A329180,HD현대중공업,유가증권시장
A097230,HJ중공업,유가증권시장
A195940,HK이노엔,코스닥
A134610,HK자산관리대부,K-OTC
A014790,HL D&I,유가증권시장
A028300,HLB,코스닥
A003580,HLB글로벌,유가증권시장
A278650,HLB바이오스텝,코스닥
A343090,HLB사이언스,코넥스
A067630,HLB생명과학,코스닥
A024850,HLB이노베이션,코스닥
A047920,HLB제약,코스닥
A115450,HLB테라퓨틱스,코스닥
A046210,HLB파나진,코스닥
A204320,HL만도,유가증권시장
A060980,HL홀딩스,유가증권시장
A011200,HMM,유가증권시장
A403870,HPSP,코스닥
A036640,HRS,코스닥
A082740,HSD엔진,유가증권시장
A035000,HS애드,유가증권시장
A405350,IBKS제17호스팩,코스닥
A426550,IBKS제19호스팩,코스닥
A439730,IBKS제20호스팩,코스닥
A442770,IBKS제21호스팩,코스닥
A448760,IBKS제22호스팩,코스닥
A104770,IBK투자증권,K-OTC
A003560,IHQ,유가증권시장
A095340,ISC,코스닥
A099520,ITX-AI,코스닥
A175330,JB금융지주,유가증권시장
A950170,JTC,코스닥
A234080,JW생명과학,유가증권시장
A067290,JW신약,코스닥
A001060,JW중외제약,유가증권시장
A096760,JW홀딩스,유가증권시장
A035900,JYP Ent.,코스닥
A318000,KBG,코스닥
A024840,KBI메탈,코스닥
A105560,KB금융,유가증권시장
A024120,KB오토시스,코스닥
A455250,KB제25호스팩,코스닥
A458320,KB제26호스팩,코스닥
A002380,KCC,유가증권시장
A021320,KCC건설,코스닥
A344820,KCC글라스,유가증권시장
A036670,KCI,코스닥
A009070,KCTC,유가증권시장
A009440,KC그린홀딩스,유가증권시장
A112190,KC산업,코넥스
A119650,KC코트렐,유가증권시장
A044180,KD,코스닥
A092220,KEC,유가증권시장
A151860,KG ETS,코스닥
A046440,KG모빌리언스,코스닥
A003620,KG모빌리티,유가증권시장
A016380,KG스틸,유가증권시장
A035600,KG이니시스,코스닥
A001390,KG케미칼,유가증권시장
A226360,KH 건설,코스닥
A111870,KH 전자,코스닥
A033180,KH 필룩스,유가증권시장
A060720,KH바텍,코스닥
A015590,KIB플러그에너지,유가증권시장
A001940,KISCO홀딩스,유가증권시장
A058400,KNN,코스닥
A025000,KPX케미칼,유가증권시장
A092230,KPX홀딩스,유가증권시장
A000040,KR모터스,유가증권시장
A044450,KSS해운,유가증권시장
A030200,KT,유가증권시장
A033780,KT&G,유가증권시장
A058850,KTcs,유가증권시장
A058860,KTis,유가증권시장
A122450,KX,코스닥
A052900,KX하이텍,코스닥
A376190,LB루셈,코스닥
A061970,LB세미콘,코스닥
A309960,LB인베스트먼트,코스닥
A093050,LF,유가증권시장
A003550,LG,유가증권시장
A034220,LG디스플레이,유가증권시장
A051900,LG생활건강,유가증권시장
A373220,LG에너지솔루션,유가증권시장
A032640,LG유플러스,유가증권시장
A011070,LG이노텍,유가증권시장
A066570,LG전자,유가증권시장
A037560,LG헬로비전,유가증권시장
A051910,LG화학,유가증권시장
A079550,LIG넥스원,유가증권시장
A006260,LS,유가증권시장
A010120,LS ELECTRIC,유가증권시장
A000680,LS네트웍스,유가증권시장
A060370,LS마린솔루션,코스닥
A104230,LS전선,K-OTC
A229640,LS전선아시아,유가증권시장
A108320,LX세미콘,유가증권시장
A001120,LX인터내셔널,유가증권시장
A108670,LX하우시스,유가증권시장
A383800,LX홀딩스,유가증권시장
A086960,MDS테크,코스닥
A023150,MH에탄올,유가증권시장
A038340,MIT,코스닥
A035420,NAVER,유가증권시장
A160550,NEW,코스닥
A053290,NE능률,코스닥
A181710,NHN,유가증권시장
A060250,NHN KCP,코스닥
A104200,NHN벅스,코스닥
A005940,NH투자증권,유가증권시장
A034310,NICE,유가증권시장
A030190,NICE평가정보,유가증권시장
A008260,NI스틸,유가증권시장
A004250,NPC,유가증권시장
A456040,OCI,유가증권시장
A010060,OCI홀딩스,유가증권시장
A178920,PI첨단소재,유가증권시장
A024940,PN풍년,코스닥
A005490,POSCO홀딩스,유가증권시장
A218410,RFHIC,코스닥
A327260,RF머트리얼즈,코스닥
A091340,S&K폴리텍,코스닥
A010950,S-Oil,유가증권시장
A419530,SAMG엔터,코스닥
A019550,SBI인베스트먼트,코스닥
A950110,SBI핀테크솔루션즈,코스닥
A034120,SBS,유가증권시장
A046140,SBS콘텐츠허브,코스닥
A151910,SBW생명과학,코스닥
A036120,SCI평가정보,코스닥
A099220,SDN,코스닥
A036540,SFA반도체,코스닥
A255220,SG,코스닥
A040610,SG&G,코스닥
A049470,SGA,코스닥
A184230,SGA솔루션즈,코스닥
A005090,SGC에너지,유가증권시장
A016250,SGC이테크건설,코스닥
A001380,SG글로벌,유가증권시장
A004060,SG세계물산,유가증권시장
A001970,SG신성건설,K-OTC
A001770,SHD,유가증권시장
A002360,SH에너지화학,유가증권시장
A009160,SIMPAC,유가증권시장
A123700,SJM,유가증권시장
A025530,SJM홀딩스,유가증권시장
A034730,SK,유가증권시장
A011790,SKC,유가증권시장
A018670,SK가스,유가증권시장
A001740,SK네트웍스,유가증권시장
A006120,SK디스커버리,유가증권시장
A210980,SK디앤디,유가증권시장
A068400,SK렌터카,유가증권시장
A302440,SK바이오사이언스,유가증권시장
A326030,SK바이오팜,유가증권시장
A402340,SK스퀘어,유가증권시장
A260870,SK시그넷,코넥스
A361610,SK아이이테크놀로지,유가증권시장
A003340,SK에코플랜트,K-OTC
A100090,SK오션플랜트,유가증권시장
A096770,SK이노베이션,유가증권시장
A001510,SK증권,유가증권시장
A285130,SK케미칼,유가증권시장
A017670,SK텔레콤,유가증권시장
A000660,SK하이닉스,유가증권시장
A048550,SM C&C,코스닥
A063440,SM Life Design,코스닥
A003570,SNT다이내믹스,유가증권시장
A064960,SNT모티브,유가증권시장
A100840,SNT에너지,유가증권시장
A036530,SNT홀딩스,유가증권시장
A005610,SPC삼립,유가증권시장
A011810,STX,유가증권시장
A465770,STX그린로지스,유가증권시장
A077970,STX엔진,유가증권시장
A071970,STX중공업,유가증권시장
A002820,SUN&L,유가증권시장
A289080,SV인베스트먼트,코스닥
A084870,TBH글로벌,유가증권시장
A002710,TCC스틸,유가증권시장
A089230,THE E&M,코스닥
A161570,THE MIDONG,코스닥
A032540,TJ미디어,코스닥
A022220,TKG애강,코스닥
A069260,TKG휴켐스,유가증권시장
A048770,TPC,코스닥
A246690,TS인베스트먼트,코스닥
A317240,TS트릴리온,코스닥
A002900,TYM,유가증권시장
A024070,WISCOM,유가증권시장
A057030,YBM넷,코스닥
A037270,YG PLUS,유가증권시장
A040300,YTN,코스닥
A051390,YW,코스닥
A052220,iMBC,코스닥
A079940,가비아,코스닥
A078890,가온그룹,코스닥
A000500,가온전선,유가증권시장
A399720,가온칩스,코스닥
A296520,가이아코퍼레이션,코넥스
A036620,감성코퍼레이션,코스닥
A000860,강남제비스코,유가증권시장
A217730,강스템바이오텍,코스닥
A035250,강원랜드,유가증권시장
A114190,강원에너지,코스닥
A094480,갤럭시아머니트리,코스닥
A011420,갤럭시아에스엠,유가증권시장
A000800,경남기업,K-OTC
A039240,경남스틸,코스닥
A053950,경남제약,코스닥
A002100,경농,유가증권시장
A009450,경동나비엔,유가증권시장
A267290,경동도시가스,유가증권시장
A012320,경동인베스트,유가증권시장
A011040,경동제약,코스닥
A000050,경방,유가증권시장
A214390,경보제약,유가증권시장
A012610,경인양행,유가증권시장
A009140,경인전자,유가증권시장
A024910,경창산업,코스닥
A013580,계룡건설,유가증권시장
A012200,계양전기,유가증권시장
A002140,고려산업,유가증권시장
A198440,고려시멘트,코스닥
A049720,고려신용정보,코스닥
A010130,고려아연,유가증권시장
A002240,고려제강,유가증권시장
A014570,고려제약,코스닥
A348150,고바이오랩,코스닥
A950190,고스트스튜디오,코스닥
A098460,고영,코스닥
A035290,골드앤에스,코스닥
A123900,골든블루,K-OTC
A900280,골든센츄리,코스닥
A215000,골프존,코스닥
A121440,골프존뉴딘홀딩스,코스닥
A183410,골프존데카,코넥스
A068750,곰앤컴퍼니,K-OTC
A366030,공구우먼,코스닥
A076340,관악산업,코넥스
A009290,광동제약,유가증권시장
A014200,광림,코스닥
A017040,광명전기,유가증권시장
A029480,광무,코스닥
A017900,광전자,유가증권시장
A037710,광주신세계,유가증권시장
A026910,광진실업,코스닥
A397880,교보11호스팩,코스닥
A421800,교보12호스팩,코스닥
A440790,교보13호스팩,코스닥
A456490,교보14호스팩,코스닥
A030610,교보증권,유가증권시장
A201150,교육혁명,K-OTC
A339770,교촌에프앤비,유가증권시장
A053270,구영테크,코스닥
A007690,국도화학,유가증권시장
A005320,국동,유가증권시장
A001140,국보,유가증권시장
A066620,국보디자인,코스닥
A043650,국순당,코스닥
A006050,국영지앤엠,코스닥
A060480,국일신동,코스닥
A078130,국일제지,코스닥
A307750,국전약품,코스닥
A002720,국제약품,유가증권시장
A243870,굿센,코넥스
A035080,그래디언트,코스닥
A204020,그리티,코스닥
A114450,그린생명과학,코스닥
A083420,그린케미칼,유가증권시장
A186230,그린플러스,코스닥
A014530,극동유화,유가증권시장
A900070,글로벌에스엠,코스닥
A204620,글로벌텍스프리,코스닥
A019660,글로본,코스닥
A014280,금강공업,유가증권시장
A053260,금강철강,코스닥
A008870,금비,유가증권시장
A001570,금양,유가증권시장
A282720,금양그린파워,코스닥
A002990,금호건설,유가증권시장
A011780,금호석유,유가증권시장
A214330,금호에이치티,유가증권시장
A001210,금호전기,유가증권시장
A073240,금호타이어,유가증권시장
A036190,금화피에스시,코스닥
A049080,기가레인,코스닥
A420770,기가비스,코스닥
A035460,기산텔레콤,코스닥
A092440,기신정기,유가증권시장
A000270,기아,유가증권시장
A024110,기업은행,유가증권시장
A456700,길교이앤씨,코넥스
A013700,까뮤이앤씨,유가증권시장
A308100,까스텔바작,코스닥
A004540,깨끗한나라,유가증권시장
A407400,꿈비,코스닥
A187790,나노,코스닥
A286750,나노브릭,코스닥
A121600,나노신소재,코스닥
A247660,나노씨엠에스,코스닥
A039860,나노엔텍,코스닥
A091970,나노캠텍,코스닥
A417010,나노팀,코스닥
A244880,나눔테크,코넥스
A405920,나라셀라,코스닥
A288490,나라소프트,코넥스
A051490,나라엠앤디,코스닥
A137080,나래나노텍,코스닥
A190510,나무가,코스닥
A242040,나무기술,코스닥
A089600,나스미디어,코스닥
A293580,나우IB,코스닥
A257990,나우코스,코넥스
A138610,나이벡,코스닥
A130580,나이스디앤비,코스닥
A036800,나이스정보통신,코스닥
A267320,나인테크,코스닥
A001260,남광토건,유가증권시장
A008350,남선알미늄,유가증권시장
A004270,남성,유가증권시장
A003920,남양유업,유가증권시장
A025860,남해화학,유가증권시장
A111710,남화산업,코스닥
A091590,남화토건,코스닥
A079180,내일신문,K-OTC
A168330,내츄럴엔도텍,코스닥
A094860,네오리진,코스닥
A253590,네오셈,코스닥
A212560,네오오토,코스닥
A095660,네오위즈,코스닥
A042420,네오위즈홀딩스,코스닥
A950220,네오이뮨텍,코스닥
