종목코드,최고가,최저가,수익률(1달),수익률(3달),수익률(6달),수익률(1년),발행주식수,시가총액,업종명,액면가,자본금
265520,"22,750","16,300",-2.92,-14.84,-18.83,-4.37,"15,281,421","2,543",특수 목적용 기계 제조업,500,7640710500
211270,"25,800","8,800",-21.97,-3.41,-36.60,+25.89,"15,082,304","1,709","항공기,우주선 및 부품 제조업",500,7541152000
282330,"213,000","130,900",-1.70,-17.35,-22.13,-24.67,"17,283,906","23,955",종합 소매업,1000,17283906000
126600,"8,545","3,805",-12.07,-23.29,-48.25,-12.47,"54,033,275","2,126",합성고무 및 플라스틱 물질 제조업,500,27016637500
138930,"7,440","6,170",+0.58,+1.47,+4.87,+6.99,"322,088,438","22,192",기타 금융업,5000,1629676230000
311690,"39,894","12,790",-14.42,-29.50,-54.69,-42.57,"9,112,502","1,196",자연과학 및 공학 연구개발업,500,4556251000
404950,"3,375","2,540",-18.85,-5.27,-5.27,-0.83,"5,840,000",152,기타 금융업,100,584000000
456440,"4,435","2,030",-1.21,-2.15,-,-,"5,315,000",109,기타 금융업,100,531500000
367360,"5,690","2,753",+4.74,+81.20,+81.20,+88.28,"4,840,000",257,금융 지원 서비스업,100,484000000
139130,"8,430","6,710",+2.80,+11.89,+20.39,+14.59,"169,145,833","13,684",기타 금융업,5000,845729165000
375500,"41,850","28,850",+9.15,+11.29,+0.44,-7.73,"38,693,623","14,009",토목 건설업,5000,214597295000
241520,"4,665","2,675",-4.39,-11.56,-26.97,-32.38,"27,811,403",787,신탁업 및 집합투자업,500,13905701500
155660,"6,420","4,190",-5.94,-6.56,-18.29,-13.49,"16,000,000",672,1차 비철금속 제조업,500,8000000000
180400,"9,750","4,880",-3.87,-14.86,-12.87,-26.42,"30,219,432","1,801",기타 과학기술 서비스업,500,15109716000
245620,"2,021",727,-26.54,-46.04,-51.93,-61.68,"90,011,374","1,253",자연과학 및 공학 연구개발업,100,9001137400
278990,"13,500","3,100",-4.08,-7.49,+99.67,+141.05,"4,715,954",435,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",500,1814111000
365550,"4,460","3,220",-14.80,-17.31,-12.48,-8.38,"213,089,000","6,872",부동산 임대 및 공급업,1000,213089000000
383220,"161,000","87,000",-23.01,-15.12,-36.45,-36.50,"38,307,075","33,327",봉제의복 제조업,100,3830707500
214270,"5,270","1,815",-23.17,-35.29,-44.10,-52.85,"33,250,463",621,소프트웨어 개발 및 공급업,500,16625231500
130500,"4,615","2,500",-11.03,-17.08,-27.95,-31.79,"14,545,052",364,기타 섬유제품 제조업,500,7272526000
