시도명,행정동명,승용,승합,특수,화물,총합계
대구,대구광역시 남구 대명10동,38,,,5,43
대구,대구광역시 남구 대명11동,12,,,6,18
대구,대구광역시 남구 대명1동,45,1,,9,55
대구,대구광역시 남구 대명2동,36,,,5,41
대구,대구광역시 남구 대명3동,31,,,3,34
대구,대구광역시 남구 대명4동,25,1,,11,37
대구,대구광역시 남구 대명5동,14,,,4,18
대구,대구광역시 남구 대명6동,34,,,18,52
대구,대구광역시 남구 대명9동,61,,,15,76
대구,대구광역시 남구 봉덕1동,79,,,6,85
대구,대구광역시 남구 봉덕2동,64,,,13,77
대구,대구광역시 남구 봉덕3동,74,,,7,81
대구,대구광역시 남구 이천동,40,,,8,48
대구,대구광역시 달서구 감삼동,175,,,33,208
대구,대구광역시 달서구 도원동,164,,,35,199
대구,대구광역시 달서구 두류1.2동,53,,,9,62
대구,대구광역시 달서구 두류3동,35,,,8,43
대구,대구광역시 달서구 본동,54,,,13,67
대구,대구광역시 달서구 본리동,103,,,31,134
대구,대구광역시 달서구 상인1동,247,,,46,293
대구,대구광역시 달서구 상인2동,88,,,12,100
대구,대구광역시 달서구 상인3동,41,,,16,57
대구,대구광역시 달서구 성당동,91,,,39,130
대구,대구광역시 달서구 송현1동,63,,,19,82
대구,대구광역시 달서구 송현2동,58,,,12,70
대구,대구광역시 달서구 신당동,487,5,,71,563
대구,대구광역시 달서구 용산1동,167,,,45,212
대구,대구광역시 달서구 용산2동,101,,,22,123
대구,대구광역시 달서구 유천동,264,,,43,307
대구,대구광역시 달서구 월성1동,336,25,2,84,447
대구,대구광역시 달서구 월성2동,138,2,,30,170
대구,대구광역시 달서구 이곡1동,198,,,44,242
대구,대구광역시 달서구 이곡2동,168,,,26,194
대구,대구광역시 달서구 장기동,129,,,54,183
대구,대구광역시 달서구 죽전동,45,,,21,66
대구,대구광역시 달서구 진천동,308,,,54,362
대구,대구광역시 달성군 가창면,82,2,,27,111
대구,대구광역시 달성군 구지면,209,1,,51,261
대구,대구광역시 달성군 논공읍,177,2,,45,224
대구,대구광역시 달성군 논공읍공단출장소,12,,,4,16
대구,대구광역시 달성군 다사읍,562,7,,174,743
대구,대구광역시 달성군 다사읍서재출장소,50,,,5,55
대구,대구광역시 달성군 옥포읍,196,1,,61,258
대구,대구광역시 달성군 유가읍,284,1,,39,324
대구,대구광역시 달성군 하빈면,61,,,27,88
대구,대구광역시 달성군 현풍읍,158,2,,30,190
대구,대구광역시 달성군 화원읍,242,,,91,333
대구,대구광역시 동구 공산동,210,,,35,245
대구,대구광역시 동구 도평동,38,,,9,47
대구,대구광역시 동구 동촌동,74,1,,18,93
대구,대구광역시 동구 방촌동,68,,,17,85
대구,대구광역시 동구 불로.봉무동,289,,,32,321
대구,대구광역시 동구 신암1동,51,,,7,58
대구,대구광역시 동구 신암2동,146,,,7,153
대구,대구광역시 동구 신암3동,70,,,10,80
대구,대구광역시 동구 신암4동,1172,,,25,1197
대구,대구광역시 동구 신암5동,28,,,6,34
대구,대구광역시 동구 신천1.2동,61,,,5,66
대구,대구광역시 동구 신천3동,109,,,15,124
대구,대구광역시 동구 신천4동,128,,,2,130
대구,대구광역시 동구 안심1동,202,,,44,246
대구,대구광역시 동구 안심2동,101,12,,26,139
대구,대구광역시 동구 안심3.4동,161,2,,10,173
대구,대구광역시 동구 안심3동,137,10,,13,160
대구,대구광역시 동구 안심4동,122,,,33,155
대구,대구광역시 동구 지저동,96,,,9,105
대구,대구광역시 동구 해안동,85,,,35,120
대구,대구광역시 동구 혁신동,89,,,28,117
대구,대구광역시 동구 효목1동,60,,,23,83
대구,대구광역시 동구 효목2동,51,,,12,63
대구,대구광역시 북구 검단동,43,,,19,62
대구,대구광역시 북구 고성동,32,,,6,38
대구,대구광역시 북구 관문동,280,,,107,387
대구,대구광역시 북구 관음동,76,9,,21,106
대구,대구광역시 북구 구암동,149,,,36,185
대구,대구광역시 북구 국우동,167,5,,36,208
대구,대구광역시 북구 노원동,161,,,46,207
대구,대구광역시 북구 대현동,77,,,14,91
대구,대구광역시 북구 동천동,103,,,36,139
대구,대구광역시 북구 무태조야동,230,,,69,299
대구,대구광역시 북구 복현1동,20,,,3,23
대구,대구광역시 북구 복현2동,132,,,32,164
대구,대구광역시 북구 산격1동,33,,,21,54
대구,대구광역시 북구 산격2동,51,,,48,99
대구,대구광역시 북구 산격3동,32,,,11,43
대구,대구광역시 북구 산격4동,28,,,3,31
대구,대구광역시 북구 읍내동,107,7,,25,139
대구,대구광역시 북구 칠성동,154,,,33,187
대구,대구광역시 북구 침산1동,36,,,16,52
대구,대구광역시 북구 침산2동,104,,,31,135
대구,대구광역시 북구 침산3동,106,,,29,135
대구,대구광역시 북구 태전1동,106,,,28,134
대구,대구광역시 북구 태전2동,90,,,32,122
대구,대구광역시 서구 내당1동,31,,,14,45
대구,대구광역시 서구 내당2.3동,22,,,6,28
대구,대구광역시 서구 내당4동,49,,,10,59
대구,대구광역시 서구 비산1동,28,,,12,40
대구,대구광역시 서구 비산2.3동,22,,,9,31
대구,대구광역시 서구 비산4동,23,,,6,29
대구,대구광역시 서구 비산5동,12,,,3,15
대구,대구광역시 서구 비산6동,10,,,4,14
대구,대구광역시 서구 비산7동,432,,,13,445
대구,대구광역시 서구 상중이동,200,,,61,261
대구,대구광역시 서구 원대동,15,,,7,22
대구,대구광역시 서구 평리1동,25,,,8,33
대구,대구광역시 서구 평리2동,28,,,7,35
대구,대구광역시 서구 평리3동,23,,,7,30
대구,대구광역시 서구 평리4동,52,,,23,75
대구,대구광역시 서구 평리5동,25,,,4,29
대구,대구광역시 서구 평리6동,15,,,1,16
대구,대구광역시 수성구 고산1동,167,1,,33,201
